Value,Disaggregation combinations using this value,Number of indicators
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International Treaty on PGRFA http://faoitpgrfa.ort-production.linode.unep-wcmc.org and  Easy-SMTA https://mls.planttreaty.org ,",1,1
IBRD Financial Statements June 2019 ,4,2
IBRD Financial Statements June 2020,4,2
ICAO,2,1
"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",3,1
IFC 2000 Annual Report Volume 2,4,2
IFC 2005 Annual Report Volume 2,4,2
IFC 2010 Annual Report Volume 2,4,2
IFC 2015 Annual Report Volume 2,4,2
IFC 2016 Annual Report Volume 2,4,2
IFC 2017 Annual Report Volume 2,4,2
IFC 2018 Annual Report Volume 2,4,2
IFC 2019 Annual Report Volume 2,4,2
IFC 2020 Annual Report Volume 2,4,2
"IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ), WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework ) and  the WHO Strategic Partnership for Health Security and Emergency Preparedness (SPH) Portal (https://extranet.who.int/sph/home )",13,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) ,13,1
IMF Annual Report 2000,4,2
IMF Annual Report 2005,4,2
IMF Annual Report 2010,4,2
IMF Annual Report 2015,4,2
IMF Annual Report 2016,4,2
IMF Annual Report 2017,4,2
IMF Annual Report 2018,4,2
IMF Annual Report 2019,4,2
IMF Annual Report 2020,4,2
Inter-American Development Bank Annual Report 2000,4,2
Inter-American Development Bank Annual Report 2005,4,2
Inter-American Development Bank Annual Report 2010,4,2
Inter-American Development Bank Annual Report 2015,4,2
Inter-American Development Bank Annual Report 2016,4,2
Inter-American Development Bank Annual Report 2017,4,2
Inter-American Development Bank Annual Report 2018,4,2
Inter-American Development Bank Annual Report 2019,4,2
"Inter-Parliamentary Union (IPU), Parline Database",3,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",2,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed Jan 1 of given year for annual data.",1,1
"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.",1,1
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017",4,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018",4,2
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",1,1
"International Monetary Fund, Financial Soundness Indicators.",1,1
"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, International Financial Statistics and data files.",4,1
"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1,1
ITPGRFA Secretariat ,3,1
ITU estimate.,2,1
ITU WTID2020,4,2
LFS - EU Labour Force Survey,18,1
LFS - Labour Force Survey,9,1
OECD.,1,1
Ofcom,19,2
"Office for National Statistics based on United Kingdom Time Use Survey, 2000",36,1
"Office for National Statistics based on United Kingdom Time Use Survey, 2014-2015",36,1
Office for National Statistics,8,2
Office of Communications (Ofcom).,2,1
Office of Communications,20,2
ONS.,2,1
"Plastic Pollution (MLW, MDMAP, ICC)",1,1
Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,16,2
Progress in International Reading Literacy Study (PIRLS). Students achieving at least low International Benchmark. Grade 4.  The results correspond only to England Data extracted on 13 April 2021.,1,1
"Protected Planet: The World Database on Protected Areas (WDPA) [On-line], December, 2018, International Union for Conservation of Nature (IUCN) and United Nations Environment Programme's World Conservation Monitoring Centre (UNEP-WCMC).",2,1
Registration National Statistics,1,1
Registration UNSD & WPP2019,1,1
Report of the Economic and Social Council for 2000 (A/55/3/Rev.1),4,2
Report of the Economic and Social Council for 2005 (A/60/3),4,2
Report of the Economic and Social Council for 2010 (A/65/3),4,2
Report of the Economic and Social Council for 2015 (A/70/3),4,2
Report of the Economic and Social Council on its 2016 Session (A/71/3),4,2
Report of the Economic and Social Council on its 2017 Session (A/72/3),4,2
Report of the Economic and Social Council on its 2018 Session (A/73/3),4,2
Report of the Economic and Social Council on its 2019 Session (A/74/3),4,2
Report of the Security Council (A/55/2),4,2
Report of the Security Council (A/60/2),4,2
Report of the Security Council (A/65/2),4,2
Report of the Security Council (A/70/2),4,2
Report of the Security Council (A/71/2),4,2
Report of the Security Council for 2017 (A/72/2),4,2
Report of the Security Council for 2018 (A/73/2),4,2
Report of the Security Council for 2019 (A/74/2),4,2
Security Council website https://www.un.org/securitycouncil/content/current-members,4,2
"Source: UNCTAD Review of Maritime Transport, 2020 and UNCTADstat ( https://unctadstat.unctad.org/wds/TableViewer/tableView.aspx).",1,1
the International Transport Forum at the OECD (ITF-OECD),10,1
"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.",1,1
The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,4,2
Trends in International Mathematics and Science Study (TIMSS). Students achieving at least Intermediate International Benchmark. Grade 4. The results correspond only to England Data extracted on 13 April 2021.,1,1
UN General Assembly website http://www.un.org/en/member-states/index.html,4,2
UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,1,1
"UNIDO MVA 2021 Database. Available at https://stat.unido.org. IEA (2020), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",1,1
"United Kingdom - Family Expenditure Survey (FES) 2000; Key indicator of the 2019 global report on Global Monitoring Report on Financial Protection in Health 2019. Geneva: World Health Organization and International Bank for Reconstruction and Development The World Bank; 2019, available at https://www.who.int/health_financing/topics/financial-protection/en/ and http://datatopics.worldbank.org/universal-health-coverage/",2,1
"United Kingdom - Family Expenditure Survey (FES) 2005; Key indicator of the 2019 global report on Global Monitoring Report on Financial Protection in Health 2019. Geneva: World Health Organization and International Bank for Reconstruction and Development The World Bank; 2019, available at https://www.who.int/health_financing/topics/financial-protection/en/ and http://datatopics.worldbank.org/universal-health-coverage/",2,1
"United Kingdom - Living Costs and Food Survey (LCFS) 2013; Key indicator of the 2019 global report on Global Monitoring Report on Financial Protection in Health 2019. Geneva: World Health Organization and International Bank for Reconstruction and Development The World Bank; 2019, available at https://www.who.int/health_financing/topics/financial-protection/en/ and http://datatopics.worldbank.org/universal-health-coverage/",2,1
"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",22,2
"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019.;Value suppressed (less than 25 unweighted observations in sample). Data extracted on 13 April 2021.",4,2
"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",26,2
"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",26,2
"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",13,2
UNSD national account estimates,1,1
UNSD / UNU / WESR,3,1
UNSTATS / WESR ,4,2
WHO and UNICEF HPV coverage estimates,1,1
"WHO/UNICEF coverage estimates 2018 revision, July 2019",1,1
"WHO/UNICEF coverage estimates 2019 revision, July 2020",3,1
"World Bank national accounts data, and OECD National Accounts data files.",6,1
World Environment Situation Room,4,2
"World Trade Organization, and World Bank GDP estimates.",1,1
WTO Annual Report 2015,4,2
WTO Annual Report 2016,4,2
WTO Annual Report 2017,4,2
WTO Annual Report 2018,4,2
WTO Annual Report 2019,4,2
WTO Annual Report 2020,4,2
