Value,Disaggregation combinations using this value,Number of indicators
Carbon dioxide emissions per unit of GDP [9.4.1],1,1
Carbon dioxide emissions per unit of manufacturing value added [9.4.1],1,1
Cash surplus/deficit as a proportion of GDP [17.13.1],1,1
"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",2,1
"Chlorophyll-a deviations, remote sensing  [14.1.1]",1,1
Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],1,1
Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1],1,1
Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1],1,1
Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1],1,1
Container port traffic (twenty-foot equivalent units - TEUs) [9.1.2],1,1
Corridor remittance costs as a proportion of the amount remitted [10.c.1],33,1
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1],1,1
Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO) [15.6.1],1,1
Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO) [15.9.1],1,1
Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],1,1
"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO) [15.6.1]",1,1
"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House (1 = YES; 0 = NO) [15.6.1]",1,1
Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],1,1
Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],1,1
"Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting  (1 = YES; 0 = NO) [15.9.1]",1,1
"Countries with National Human Rights Institutions in compliance with the Paris Principles, A status (1 = YES; 0 = NO) [16.a.1]",2,1
"Countries with no application for accreditation with the Paris Principles, D status  (1 = YES; 0 = NO) [16.a.1]",1,1
Countries with policy instrument for sustainable consumption and production (1 = YES; 0 = NO) [12.1.1],4,1
Countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies (1 = YES; 0 = NO) [12.1.1],1,1
Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) [14.5.1],1,1
Crude death rate attributed to ambient air pollution [3.9.1],1,1
Crude death rate attributed to household and ambient air pollution [3.9.1],1,1
Current account balance as a proportion of GDP (%) [17.13.1],1,1
Deaths attributed non-communicable diseases (number) [3.4.1],60,1
DEC alternative conversion factor (in local currency unit per United States dollar) [17.13.1],1,1
Degree of integrated water resources management implementation (%) [6.5.1],1,1
"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",1,1
"Degree of integrated water resources management implementation, financing (%) [6.5.1]",1,1
"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",1,1
"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",1,1
"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",6,1
Detected victims of human trafficking for other purposes (number) [16.2.2],3,1
Detected victims of human trafficking for removal of organ (number) [16.2.2],2,1
Detected victims of human trafficking (number) [16.2.2],1,1
"Domestic material consumption [8.4.2,12.2.2]",34,2
"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",34,2
"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",34,2
"Electronic waste collected, per capita (KG) [12.4.2]",1,1
Electronic waste collected (Tonnes) [12.4.2],2,1
Extent of use of country-owned results frameworks and planning tools by providers of development cooperation - data by provider (%)  [17.15.1],1,1
"Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education [5.6.2]",1,1
"Extent to which global citizenship education and education for sustainable development are mainstreamed in curricula [4.7.1,12.8.1,13.3.1]",3,3
"Extent to which global citizenship education and education for sustainable development are mainstreamed in national education policies [4.7.1,12.8.1,13.3.1]",3,3
"Extent to which global citizenship education and education for sustainable development are mainstreamed in student assessment [4.7.1,12.8.1,13.3.1]",3,3
Fatal occupational injuries among employees (rate) [8.8.1],19,1
Fixed broadband subscriptions (number) [17.6.1],17,1
Fixed broadband subscriptions per 100 inhabitants [17.6.1],5,1
Food waste [12.3.1],3,1
Food waste per capita [12.3.1],3,1
"Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",1,1
Forest area as a proportion of total land area [15.1.1],1,1
Forest area certified under an independently verified certification scheme (hectares) [15.2.1],1,1
Forest area (hectares) [15.1.1],1,1
Forest area net change rate (%) [15.2.1],1,1
Fossil-fuel subsidies (consumption and production) as a proportion of total GDP [12.c.1],1,1
Fossil-fuel subsidies (consumption and production) (millions of constant United States dollars) [12.c.1],1,1
Fossil-fuel subsidies (consumption and production) per capita (constant United States dollars) [12.c.1],1,1
Freight volume (tonne kilometres) [9.1.2],7,1
Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],9,1
"Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",1,1
Health workder density [3.c.1],4,1
"Health worker distribution, by sex and type of occupation [3.c.1]",4,1
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables) [12.b.1],2,1
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Total number of tables) [12.b.1],2,1
Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables) [12.b.1],2,1
Infant deaths (number) [3.2.1],3,1
Infant mortality rate [3.2.1],3,1
Lake water quality trophic state (%) [6.6.1],4,1
Lake water quality turbidity (%) [6.6.1],4,1
Lakes and rivers permanent water area change (%) [6.6.1],1,1
Lakes and rivers permanent water area (% of total land area) [6.6.1],1,1
Lakes and rivers permanent water area (square kilometres) [6.6.1],1,1
Lakes and rivers seasonal water area change (%) [6.6.1],1,1
Lakes and rivers seasonal water area (% of total land area) [6.6.1],1,1
Lakes and rivers seasonal water area (square kilometres) [6.6.1],1,1
Land area (hectares) [15.1.1],2,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life. [5.1.1]",1,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits. [5.1.1]",1,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family. [5.1.1]",1,1
"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 2: violence against women. [5.1.1]",1,1
"Legislation, Regulation, Act related to the prevention of introduction and management of Invasive Alien Species (1 = YES, 0 = NO) [15.8.1]",2,1
Liquid assets to short term liabilities (%) [10.5.1],1,1
Manufacturing value added as a proportion of GDP [9.2.1],1,1
Manufacturing value added (current United States dollars) as a proportion of GDP [9.2.1],1,1
Manufacturing value added per capita [9.2.1],1,1
Merchandise trade as a proportion of GDP (%) [17.13.1],1,1
"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease [3.4.1]",15,1
"Municipal waste treated, by type of treatment (%) [12.4.2]",3,1
"National Biodiversity Strategy and Action Plan (NBSAP) targets alignment to Aichi Biodiversity target 9 set out in the Strategic Plan for Biodiversity 2011-2020 (1 = YES, 0 = NO) [15.8.1]",1,1
Neonatal deaths (number) [3.2.2],1,1
Neonatal mortality rate [3.2.2],1,1
"Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI (grant equivalent methodology), by donor countries (%) [17.2.1]",1,1
"Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries [17.2.1]",2,1
"Net official development assistance (ODA) from OECD-DAC countries, by donor countries [17.2.1]",2,1
"Net official development assistance (ODA) from OECD-DAC countries (grant equivalent methodology), by donor countries [17.2.1]",1,1
"Net official development assistance (ODA) to landlocked developing countries as a percentage of OECD-DAC donors' GNI, by donor countries [17.2.1]",1,1
"Net official development assistance (ODA) to landlocked developing countries from OECD-DAC countries, by donor countries [17.2.1]",1,1
"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries [17.2.1]",1,1
"Net official development assistance (ODA) to LDCs from OECD-DAC countries, by donor countries [17.2.1]",1,1
"Net official development assistance (ODA) to small island states (SIDS) as a percentage of OECD-DAC donors' GNI, by donor countries [17.2.1]",2,1
"Net official development assistance (ODA) to small island states (SIDS) from OECD-DAC countries, by donor countries [17.2.1]",1,1
Net open position in foreign exchange to capital (%) [10.5.1],1,1
Non-fatal occupational injuries among employees (rate) [8.8.1],23,1
Non-performing loans net of provisions to capital (%) [10.5.1],1,1
Non-performing loans to total gross loans (%) [10.5.1],1,1
"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]",1,1
"Number of chairs of permanent committees, by age sex and focus of the committee, Joint Committees [16.7.1]",1,1
"Number of chairs of permanent committees, by age, sex and focus of the committee, Lower Chamber or Unicameral [16.7.1]",4,1
"Number of chairs of permanent committees, by age, sex and focus of the committee, Upper Chamber [16.7.1]",4,1
"Number of commercial bank branches per 100,000 adults [8.10.1]",1,1
"Number of deaths and missing persons attributed to disasters [1.5.1, 11.5.1, 13.1.1]",3,3
"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",3,3
Number of deaths attributed to suicide [3.4.2],15,1
"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",3,3
Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],6,1
"Number of local governments [1.5.4, 11.b.2, 13.1.3]",3,3
"Number of local governments that adopt and implement local DRR strategies in line with national strategies [1.5.4, 11.b.2, 13.1.3]",3,3
"Number of policies, instruments and mechanism in place for sustainable consumption and production [12.1.1]",1,1
Number of seats held by women in national parliaments [5.5.1],3,1
Number of seats in national parliaments [5.5.1],1,1
"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral [16.7.1]",1,1
"Number of speakers in parliament, by age and sex, Upper Chamber [16.7.1]",1,1
"Number of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",1,1
"Number of youth in parliament (age 45 or below), Upper Chamber [16.7.1]",1,1
"Parties meeting their commitments and obligations in transmitting information as required by Minamata Convention on hazardous waste, and other chemicals (% average value) [12.4.1]",1,1
Passenger volume (passenger kilometres) [9.1.2],5,1
"Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested [3.d.2]",1,1
Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested [3.d.2],1,1
Plant genetic resources accessions stored ex situ (number) [2.5.1],2,1
Population in moderate or severe food insecurity (number) [2.1.2],15,1
Population in severe food insecurity (number) [2.1.2],15,1
"Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",1,1
Prevalence of moderate or severe food insecurity in the population [2.1.2],15,1
Prevalence of severe food insecurity in the population [2.1.2],15,1
Proportion of bodies of water with good ambient water quality [6.3.2],1,1
Proportion of children/households receiving child/family cash benefit [1.3.1],3,1
Proportion of elected seats held by women in deliberative bodies of local government [5.5.1],1,1
Proportion of employed population covered in the event of work injury [1.3.1],1,1
Proportion of forest area with a long-term management plan [15.2.1],1,1
Proportion of forest area within legally established protected areas [15.2.1],1,1
Proportion of groundwater bodies with good ambient water quality [6.3.2],1,1
"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies [1.5.4, 11.b.2, 13.1.3]",3,3
"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",166,2
Proportion of mothers with newborns receiving maternity cash benefit [1.3.1],1,1
Proportion of new development interventions drawn from country-led result frameworks - data by provider (%) [17.15.1],1,1
Proportion of open water bodies with good ambient water quality [6.3.2],1,1
Proportion of poor population receiving social assistance cash benefit [1.3.1],1,1
Proportion of population above statutory pensionable age receiving a pension [1.3.1],3,1
Proportion of population covered by at least a 2G mobile network [9.c.1],13,1
Proportion of population covered by at least a 3G mobile network [9.c.1],11,1
Proportion of population covered by at least a 4G mobile network [9.c.1],7,1
Proportion of population covered by at least one social protection benefit [1.3.1],1,1
Proportion of population practicing open defecation [6.2.1],3,1
Proportion of population using basic drinking water services [1.4.1],3,1
Proportion of population using basic sanitation services [1.4.1],3,1
Proportion of population using safely managed sanitation services [6.2.1],3,1
Proportion of population with large household expenditures on health (greater than 10%) as a share of total household expenditure or income [3.8.2],3,1
Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],3,1
Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],3,1
Proportion of results indicators drawn from country-led results frameworks - data by provider (%) [17.15.1],1,1
Proportion of results indicators which will be monitored using government sources and monitoring systems - data by provider (%) [17.15.1],1,1
Proportion of river water bodies with good ambient water quality [6.3.2],1,1
Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],3,1
Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],1,1
"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",1,1
Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],1,1
Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],2,1
Proportion of time spent on unpaid care work [5.4.1],24,1
Proportion of time spent on unpaid domestic chores [5.4.1],24,1
Proportion of time spent on unpaid domestic chores and care work [5.4.1],24,1
Proportion of transboundary aquifers with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of transboundary river and lake basins with an operational arrangement for water cooperation [6.5.2],1,1
Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],1,1
"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",166,2
Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],1,1
Proportion of women aged 15-49 years with anaemia [2.2.3],19,1
"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",20,1
"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",18,1
Proportion of women in managerial positions [5.5.2],2,1
Proportion of women in senior and middle management positions [5.5.2],2,1
"Proportion of youth in parliament (age 45 or below), Lower Chamber or Unicameral [16.7.1]",1,1
"Proportion of youth in parliament (age 45 or below), Upper Chamber [16.7.1]",1,1
Protected marine area (Exclusive Economic Zones) (square kilometres) [14.5.1],1,1
"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",1,1
"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",1,1
"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral [16.7.1]",1,1
"Ratio of young members in parliament (Ratio of the proportion of young members in parliament (age 45 or below) in the proportion of the national population (age 45 or below) with the age of eligibility as a lower bound boundary), Upper Chamber [16.7.1]",1,1
"Recipient countries of global funding with access to any funding from global financial mechanisms for projects related to invasive alien species  management (1 = YES, 0 = NO) [15.8.1]",1,1
Regulatory capital to assets (%) [10.5.1],1,1
Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],1,1
Reservoir maximum water area (% of total land area) [6.6.1],1,1
Reservoir maximum water area (square kilometres) [6.6.1],1,1
Reservoir minimum water area (% of total land area) [6.6.1],1,1
Reservoir minimum water area (square kilometres) [6.6.1],1,1
Return on assets (%) [10.5.1],1,1
"(S.1) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 1: Maternity Care [5.6.2]",1,1
"(S.1.C.1) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 1: Maternity Care [5.6.2]",1,1
"(S.1.C.2) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 2: Life Saving Commodities [5.6.2]",1,1
"(S.1.C.3) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 3: Abortion [5.6.2]",1,1
"(S.1.C.4) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 4: Post-Abortion Care [5.6.2]",1,1
"(S.2) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 2: Contraceptive and Family Planning [5.6.2]",1,1
"(S.2.C.5) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 5: Contraceptive Services [5.6.2]",1,1
"(S.2.C.6) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 6: Contraceptive Consent [5.6.2]",1,1
"(S.2.C.7) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 7: Emergency Contraception [5.6.2]",1,1
"(S.3) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 3: Sexuality Education [5.6.2]",1,1
"(S.3.C.8) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 8: Sexuality Education Curriculum Laws [5.6.2]",1,1
"(S.3.C.9) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 9: Sexuality Education Curriculum Topi [5.6.2]",1,1
"(S.4) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Section 4: HIV and HPV [5.6.2]",1,1
"(S.4.C.10) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 10: HIV Counselling and Test Services [5.6.2]",1,1
"(S.4.C.11) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 11: HIV Treatment and Care Services [5.6.2]",1,1
"(S.4.C.12) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 12: HIV Confidentiality [5.6.2]",1,1
"(S.4.C.13) Extent to which countries have laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education: Component 13: HPV Vaccine [5.6.2]",1,1
Score for the implementation of UNCLOS and its two implementing agreements (%) [14.c.1],1,1
Score for the ratification of and accession to UNCLOS and its two implementing agreements (%) [14.c.1],1,1
SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],127,1
Suicide mortality rate [3.4.2],13,1
Tax revenue as a proportion of GDP (%) [17.13.1],1,1
Total government revenue as a proportion of GDP [17.1.1],1,1
"Total government revenue, in local currency [17.1.1]",1,1
"Total official flows (commitments) for Aid for Trade, by donor countries [8.a.1]",1,1
"Total official flows (disbursement) for Aid for Trade, by donor countries [8.a.1]",1,1
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country [15.6.1],1,1
Total reserves in months of imports (ratio) [17.13.1],1,1
Under-five deaths (number) [3.2.1],3,1
Under-five mortality rate [3.2.1],3,1
Unemployment rate [8.5.2],18,1
"Unemployment rate, by disability [8.5.2]",18,1
Wetlands area (% of total land area) [6.6.1],1,1
Wetlands area (square kilometres) [6.6.1],1,1
