Value,Disaggregation combinations using this value,Number of indicators
"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",1,1
"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",1,1
Mooring Name:  Garron Point Scotland | LATITUDE: 56.963 | LONGITUDE: -2.11,1,1
Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,1,1
Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,1,1
Name of National Human Rights Institution: Great Britain - Equality and Human Rights Commission; Northern Ireland - human Rights Commission; Scotland - Scottish Human Rights Commission.,1,1
Name of National Human Rights Institution: Zambian Human Rights Commission .,1,1
"Net Disbursements | Based on OECD, DAC database, 2020 | Provisional",1,1
"Net Disbursements; Based on OECD, DAC database, 2021; Constant 2019 USD million; Including imputed multilateral",3,1
"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",3,1
"Net Disbursements; Based on OECD, DAC database, 2021; Provisional; Constant 2019 USD million",1,1
"Obs_Value = 0;  Bicameral: Upper chamber (House of Lords), No Committee, Data valid as of 1 Jan of given year",2,1
"Obs_Value = 0;  Data in reference to one country but derived from different types of sources should not be compared between them.
",1,1
Obs_Value = 0;  Estimated breakdown based on data for residential connections.,1,1
"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",1,1
Obs_Value = 0;  Responses to a set of key questons have been included in this dataset. ,1,1
Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,4,2
Obs_Value = 0;  ,8,5
Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,9,1
Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,9,1
Obs_Value = NaN;  NaN = A figure was not provided,1,1
Obs_Value = NaN;  Third quarter of the specified year. Global SmaRT Average: 4.47%.,1,1
Official country report to FAO (FRA 2020),5,2
Official Official country report to FAO (FRA 2020),1,1
"Parties  refers to Parties to the Convention on Biological Diversity that have ratified, accepted, approved or acceded the Nagoya Protocol, including those for which the Protocol has not yet entered into force following the 90 days period set out in Article 33.2 of the Protocol. For values:  TRUE = 1.0; FALSE = 0.0. Data as per 15 February 2017.",1,1
"Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested.",1,1
Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested.,1,1
Quarter four data of the year in reference,1,1
Reference to Target 9 was a requirement,1,1
Reference year represents the year of the census conducted.,1,1
Repository: Eurostat special tabulation | Break in series: Methodology revised,1,1
Repository: Eurostat special tabulation,10,2
Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,3,1
Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,3,1
"SPAR new questionaire for IHR Annual reporting from year 2018, the capacities had changed and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ) and disseminated to WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework ) and the WHO Strategic Partnership for Health Security and Emergency Preparedness (SPH) Portal (https://extranet.who.int/sph/home )",13,1
"The Exclusive Economic Zone (EEZ) comprises an area which extends either from the coast, or in federal systems from the seaward boundaries of the constituent states (3 to 12 nautical miles, in most cases) to 200 nautical miles (370 kilometres) off the coa",2,1
Third quarter of the specified year. Global SmaRT Average: 4.47%.,32,1
Third quarter of the specified year.,33,1
Travel related to unpaid care work is not included.,12,1
Travel related to unpaid domestic and care work is not included.,12,1
Travel related to unpaid domestic work is not included.,12,1
"Value ""1"" represents country's birth registration data are at least 90 per cent complete. ""0"" represents country's birth registration data are less than 90 per cent complete.",1,1
"Value ""1"" represents country's death registration data are at least 75 per cent complete. ""0"" represents country's death registration data are less than 75 per cent complete.",1,1
"WHO standard questionaire for IHR Annual reporting from years 2010 to 2017,  data collected available at WHO e-SPAR database (https://extranet.who.int/e-spar/ ), WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework ) and the WHO Strategic Partnership for Health Security and Emergency Preparedness (SPH) Portal (https://extranet.who.int/sph/home )",13,1
