Year,Unit multiplier,Upper bound value,Lower bound value,SERIES,Sex,Age,UNIT_MEASURE,Value
2017,Thousands,147.5,78.2,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,125.2
2018,Thousands,147.5,78.2,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,145.8
2019,Thousands,147.5,78.2,Population in moderate or severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,112.8
2015,Units,1.1,0.3,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,1.9
2016,Units,1.1,0.3,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,2.1
2017,Units,1.1,0.3,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,1.7
2018,Units,1.1,0.3,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,1.3
2019,Units,1.1,0.3,Prevalence of severe food insecurity in the population [2.1.2],,,Percent,0.7
2015,Units,1.1,0.0,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,2.4
2016,Units,1.1,0.0,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,2.1
2017,Units,1.1,0.0,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,1.4
2018,Units,1.1,0.0,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,0.7
2019,Units,1.1,0.0,Prevalence of severe food insecurity in the population [2.1.2],Female,15 years old and over,Percent,0.6
2015,Units,1.5,0.2,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,0.6
2016,Units,1.5,0.2,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,1.4
2017,Units,1.5,0.2,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,1.5
2018,Units,1.5,0.2,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,1.6
2019,Units,1.5,0.2,Prevalence of severe food insecurity in the population [2.1.2],Male,15 years old and over,Percent,0.9
2015,Thousands,77.1,20.9,Population in severe food insecurity (number) [2.1.2],,,Number,122.5
2016,Thousands,77.1,20.9,Population in severe food insecurity (number) [2.1.2],,,Number,139.6
2017,Thousands,77.1,20.9,Population in severe food insecurity (number) [2.1.2],,,Number,114.2
2018,Thousands,77.1,20.9,Population in severe food insecurity (number) [2.1.2],,,Number,86.2
2019,Thousands,77.1,20.9,Population in severe food insecurity (number) [2.1.2],,,Number,49.0
2015,Thousands,30.4,1.4,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,67.7
2016,Thousands,30.4,1.4,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,58.9
2017,Thousands,30.4,1.4,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,39.8
2018,Thousands,30.4,1.4,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,19.9
2019,Thousands,30.4,1.4,Population in severe food insecurity (number) [2.1.2],Female,15 years old and over,Number,15.9
2015,Thousands,41.9,6.5,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,17.0
2016,Thousands,41.9,6.5,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,37.5
2017,Thousands,41.9,6.5,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,40.9
2018,Thousands,41.9,6.5,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,42.9
2019,Thousands,41.9,6.5,Population in severe food insecurity (number) [2.1.2],Male,15 years old and over,Number,24.2
