Year,Value,SERIES
2008,8.64848697073157,Non-performing loans net of provisions to capital (%) [10.5.1]
2009,14.7975849187733,Non-performing loans net of provisions to capital (%) [10.5.1]
2010,16.8649363390134,Non-performing loans net of provisions to capital (%) [10.5.1]
2011,16.1134062245664,Non-performing loans net of provisions to capital (%) [10.5.1]
2012,13.8721492816137,Non-performing loans net of provisions to capital (%) [10.5.1]
2013,9.4770603431779,Non-performing loans net of provisions to capital (%) [10.5.1]
2014,5.37932468095875,Non-performing loans net of provisions to capital (%) [10.5.1]
2015,3.87962826090239,Non-performing loans net of provisions to capital (%) [10.5.1]
2016,3.44934661017466,Non-performing loans net of provisions to capital (%) [10.5.1]
2017,2.94310337892946,Non-performing loans net of provisions to capital (%) [10.5.1]
2018,6.80958664658105,Non-performing loans net of provisions to capital (%) [10.5.1]
2019,6.3784736743323,Non-performing loans net of provisions to capital (%) [10.5.1]
2008,9.60975120920988,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2009,11.5690737482887,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2010,13.2322882917556,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2011,13.3115478289476,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2012,14.5076818081671,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2013,16.0777352692212,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2014,13.6253247716506,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2015,15.6858136372728,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2016,16.8847084420138,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2017,17.0973581238809,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2018,17.9259112573521,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2019,17.944576878067,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1]
2008,42.3173135643807,Liquid assets to short term liabilities (%) [10.5.1]
2009,38.0367199393083,Liquid assets to short term liabilities (%) [10.5.1]
2010,37.9029007685543,Liquid assets to short term liabilities (%) [10.5.1]
2011,40.8864953681458,Liquid assets to short term liabilities (%) [10.5.1]
2012,36.8081126415832,Liquid assets to short term liabilities (%) [10.5.1]
2013,35.6946513876997,Liquid assets to short term liabilities (%) [10.5.1]
2014,35.692415343885,Liquid assets to short term liabilities (%) [10.5.1]
2015,35.891958477697,Liquid assets to short term liabilities (%) [10.5.1]
2016,37.9184258453251,Liquid assets to short term liabilities (%) [10.5.1]
2017,37.7911220689827,Liquid assets to short term liabilities (%) [10.5.1]
2018,40.6758568820882,Liquid assets to short term liabilities (%) [10.5.1]
2019,44.4311468777317,Liquid assets to short term liabilities (%) [10.5.1]
2008,29.1707688204952,Net open position in foreign exchange to capital (%) [10.5.1]
2009,1.0454565927824,Net open position in foreign exchange to capital (%) [10.5.1]
2010,5.6209365621236,Net open position in foreign exchange to capital (%) [10.5.1]
2011,3.33478187611339,Net open position in foreign exchange to capital (%) [10.5.1]
2012,-6.0929177537681,Net open position in foreign exchange to capital (%) [10.5.1]
2013,-10.5004491554457,Net open position in foreign exchange to capital (%) [10.5.1]
2014,8.29868768301941,Net open position in foreign exchange to capital (%) [10.5.1]
2015,3.06479372915334,Net open position in foreign exchange to capital (%) [10.5.1]
2016,-3.37516436015772,Net open position in foreign exchange to capital (%) [10.5.1]
2017,-3.72918576530756,Net open position in foreign exchange to capital (%) [10.5.1]
2018,-3.44740261259239,Net open position in foreign exchange to capital (%) [10.5.1]
2019,-1.09126698214009,Net open position in foreign exchange to capital (%) [10.5.1]
