Year,Value,Reporting type,Observation status,Unit multiplier,UNIT_MEASURE,SERIES
2005,807612914.39052,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2006,825640265.53532,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2007,826238342.80923,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2008,765089461.01824,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2009,679041940.86791,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2010,660503063.81795,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2011,656993815.88633,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2012,645528837.0695,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2013,642300551.76569,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2014,725229719.364,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2015,723633056.64487,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2016,724831290.63855,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2017,751086407.33645,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2018,754360502.84312,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
2019,742849871.71633,Global,Normal value,Units,Metric Tons,"Domestic material consumption [8.4.2,12.2.2]"
