Year,Observation-level footnotes,SERIES,Degree of urbanisation,Value
2010,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2011,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2012,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2013,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2014,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2015,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2016,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2017,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2018,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2019,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2020,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Rural,0
2000,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2001,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2002,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2003,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2004,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2005,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2006,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2007,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2008,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2009,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2010,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2011,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2012,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2013,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2014,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2015,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2016,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2017,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2018,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2019,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2020,Obs_Value = 0;  ,Proportion of population practicing open defecation [6.2.1],Urban,0
2000,,Proportion of population using safely managed sanitation services [6.2.1],,98
2001,,Proportion of population using safely managed sanitation services [6.2.1],,98
2002,,Proportion of population using safely managed sanitation services [6.2.1],,98
2003,,Proportion of population using safely managed sanitation services [6.2.1],,98
2004,,Proportion of population using safely managed sanitation services [6.2.1],,98
2005,,Proportion of population using safely managed sanitation services [6.2.1],,98
2006,,Proportion of population using safely managed sanitation services [6.2.1],,98
2007,,Proportion of population using safely managed sanitation services [6.2.1],,98
2008,,Proportion of population using safely managed sanitation services [6.2.1],,98
2009,,Proportion of population using safely managed sanitation services [6.2.1],,98
2010,,Proportion of population using safely managed sanitation services [6.2.1],,98
2011,,Proportion of population using safely managed sanitation services [6.2.1],,98
2012,,Proportion of population using safely managed sanitation services [6.2.1],,98
2013,,Proportion of population using safely managed sanitation services [6.2.1],,98
2014,,Proportion of population using safely managed sanitation services [6.2.1],,98
2015,,Proportion of population using safely managed sanitation services [6.2.1],,98
2016,,Proportion of population using safely managed sanitation services [6.2.1],,98
2017,,Proportion of population using safely managed sanitation services [6.2.1],,98
2018,,Proportion of population using safely managed sanitation services [6.2.1],,98
2019,,Proportion of population using safely managed sanitation services [6.2.1],,98
2020,,Proportion of population using safely managed sanitation services [6.2.1],,98
2000,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2001,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2002,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2003,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2004,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2005,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2006,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2007,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2008,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2009,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2010,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2011,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2012,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2013,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2014,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2015,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2016,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2017,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2018,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2019,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2020,,Proportion of population using safely managed sanitation services [6.2.1],Rural,94
2000,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2001,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2002,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2003,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2004,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2005,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2006,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2007,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2008,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2009,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2010,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2011,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2012,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2013,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2014,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2015,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2016,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2017,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2018,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2019,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
2020,,Proportion of population using safely managed sanitation services [6.2.1],Urban,99
