Year,COMMENT_OBS,SDG Series,Sex,Age,Observation-level footnotes,Value
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",1
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",42
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",10
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",11
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",2
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",67
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",164
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",212
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",287
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",241
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",216
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",250
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",10
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",195
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",216
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",226
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",6
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",46
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",32
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",24
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Male,under 18 years old,"Data in reference to one country but derived from different types of sources should not be compared between them.
",4
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for removal of organ (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",1
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for removal of organ (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",1
2011,"Obs_Value = 0;  Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for removal of organ (number) [16.2.2],Male,,"Obs_Value = 0;  Data in reference to one country but derived from different types of sources should not be compared between them.
",0
2012,"Obs_Value = 0;  Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for removal of organ (number) [16.2.2],Male,,"Obs_Value = 0;  Data in reference to one country but derived from different types of sources should not be compared between them.
",0
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",73
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",82
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",80
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",65
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",55
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",2
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",63
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",65
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",66
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",55
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",37
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",2
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",10
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",17
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",14
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",10
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking for other purposes (number) [16.2.2],Male,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",18
