Year,SERIES,Water resources management sub-category,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,DATA_LAST_UPDATE,Value
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Coordination between national government authorities representing different sectors on water resources, policy, planning and management",Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Developing integrated water resources management (IWRM) capacity at the national level,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,Percent,Normal value,Units,National,,100
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Organizational framework for transboundary water management for most important basins and aquifers,Percent,Normal value,Units,National,,60
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Public participation in water resources, policy, planning and management at national level",Percent,Normal value,Units,National,,90
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Public participation in water resources, policy, planning and management at the local level",Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Sub-national authorities for leading IWRM implementation,Percent,Normal value,Units,National,,100
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Participation of vulnerable groups in water resources planning and management,Percent,Normal value,Units,National,,100
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",,Percent,Normal value,Units,National,,85
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Aquifer management instruments,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Basin management instruments,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Data and information sharing within countries at all levels,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Management instruments to reduce impacts of water-related disasters from the national level,Percent,Normal value,Units,National,,90
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Management of water-related ecosystems from the national level,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",National monitoring of water availability,Percent,Normal value,Units,National,,90
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Pollution control from the national level,Percent,Normal value,Units,National,,60
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Sustainable and efficient water use management from the national level,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Transboundary data and information sharing between countries,Percent,Normal value,Units,National,,40
2020,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",,Percent,Normal value,Units,National,,76
2020,Degree of integrated water resources management implementation (%) [6.5.1],,Percent,Normal value,Units,National,,79
2017,ER_H2O_IWRMD,,PT,,,G,2022-05-19,77
2020,ER_H2O_IWRMD,,PT,,,G,2022-05-19,79
2017,ER_H2O_IWRMD_EE,,PT,,,G,2022-03-11,83
2020,ER_H2O_IWRMD_EE,,PT,,,G,2022-03-11,86
2017,ER_H2O_IWRMD_FI,,PT,,,G,2022-03-11,66
2020,ER_H2O_IWRMD_FI,,PT,,,G,2022-03-11,68
2017,ER_H2O_IWRMD_IP,,PT,,,G,2022-03-11,82
2020,ER_H2O_IWRMD_IP,,PT,,,G,2022-03-11,85
2017,ER_H2O_IWRMD_MI,,PT,,,G,2022-03-11,76
2020,ER_H2O_IWRMD_MI,,PT,,,G,2022-03-11,76
