Year,COMMENT_OBS,SERIES,SEX,COMPOSITE_BREAKDOWN,Value
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NOMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NOMIGRANT,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NOMIGRANT,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NONEUMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NONEUMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NONEUMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NONEUMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NONEUMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NONEUMIGRANT,0.2
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,,MS_NONEUMIGRANT,0.0
2001,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.0
2002,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2003,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2004,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2005,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2006,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.0
2009,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2010,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2011,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2012,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.1
2013,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.2
2014,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.2
2015,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,,0.2
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_EUMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_EUMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_EUMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_EUMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_EUMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_EUMIGRANT,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_EUMIGRANT,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NOMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NOMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NOMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NOMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NOMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NOMIGRANT,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NOMIGRANT,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NONEUMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NONEUMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NONEUMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NONEUMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NONEUMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NONEUMIGRANT,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,F,MS_NONEUMIGRANT,0.0
2000,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.6
2001,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.6
2002,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.4
2003,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.3
2004,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.3
2005,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.2
2006,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.4
2009,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,0.9
2010,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,0.9
2011,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.2
2012,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.0
2013,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.6
2014,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.4
2015,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,,1.4
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_EUMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_EUMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_EUMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_EUMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_EUMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_EUMIGRANT,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_EUMIGRANT,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NOMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NOMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NOMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NOMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NOMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NOMIGRANT,0.1
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NOMIGRANT,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NONEUMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NONEUMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NONEUMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NONEUMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NONEUMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NONEUMIGRANT,0.3
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,SL_EMP_FTLINJUR,M,MS_NONEUMIGRANT,0.0
2000,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,645.2
2001,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,623.3
2002,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,614.5
2003,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,630.0
2004,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,585.0
2005,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,562.0
2006,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,514.6
2009,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,912.8
2010,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,906.0
2011,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,864.7
2012,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,776.3
2013,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,831.5
2014,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,827.1
2015,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,,759.6
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_EUMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_EUMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_EUMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_EUMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_EUMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_EUMIGRANT,3.1
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_EUMIGRANT,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NOMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NOMIGRANT,987.3
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NOMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NOMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NOMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NOMIGRANT,1.4
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NOMIGRANT,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NONEUMIGRANT,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NONEUMIGRANT,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NONEUMIGRANT,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NONEUMIGRANT,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NONEUMIGRANT,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NONEUMIGRANT,3.1
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,,MS_NONEUMIGRANT,0.0
2000,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,333.9
2001,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,319.5
2002,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,320.2
2003,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,347.0
2004,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,327.0
2005,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,323.6
2006,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,301.4
2009,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,677.2
2010,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,687.9
2011,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,656.9
2012,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,614.6
2013,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,645.9
2014,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,632.8
2015,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,SL_EMP_INJUR,F,,589.3
