Year,Age,Main method of contraception,Observation status,Unit multiplier,Value
2015/16,35 to 44,Implant,Undefined,Thousands,15.742
2015/16,45 and over,Implant,Undefined,Thousands,3.917
2015/16,,Implant,Undefined,Thousands,140.019
2015/16,15 and under,Implant,Undefined,Thousands,5.917
2016/17,16 to 17,Implant,Undefined,Thousands,11.96
2016/17,18 to 19,Implant,Undefined,Thousands,15.742
2016/17,20 to 24,Implant,Undefined,Thousands,38.262
2016/17,25 to 34,Implant,Undefined,Thousands,43.118
2016/17,35 to 44,Implant,Undefined,Thousands,16.403
2016/17,45 and over,Implant,Undefined,Thousands,4.447
2016/17,,Implant,Undefined,Thousands,134.623
2016/17,15 and under,Implant,Undefined,Thousands,4.676
2017/18,16 to 17,Implant,Undefined,Thousands,11.14
2017/18,18 to 19,Implant,Undefined,Thousands,14.544
2017/18,20 to 24,Implant,Undefined,Thousands,35.695
2017/18,25 to 34,Implant,Undefined,Thousands,42.849
2017/18,35 to 44,Implant,Undefined,Thousands,16.56
2017/18,45 and over,Implant,Undefined,Thousands,4.535
2017/18,,Implant,Undefined,Thousands,129.76
2017/18,15 and under,Implant,Undefined,Thousands,4.432
2014/15,16 to 17,Injectable contraceptive,Undefined,Thousands,8.785
2014/15,18 to 19,Injectable contraceptive,Undefined,Thousands,12.489
2014/15,20 to 24,Injectable contraceptive,Undefined,Thousands,26.494
2014/15,25 to 34,Injectable contraceptive,Undefined,Thousands,22.803
2014/15,35 to 44,Injectable contraceptive,Undefined,Thousands,10.283
2014/15,45 and over,Injectable contraceptive,Undefined,Thousands,2.088
2014/15,,Injectable contraceptive,Undefined,Thousands,85.255
2014/15,15 and under,Injectable contraceptive,Undefined,Thousands,2.31
2015/16,16 to 17,Injectable contraceptive,Undefined,Thousands,7.377
2015/16,18 to 19,Injectable contraceptive,Undefined,Thousands,11.742
2015/16,20 to 24,Injectable contraceptive,Undefined,Thousands,26.586
2015/16,25 to 34,Injectable contraceptive,Undefined,Thousands,23.648
2015/16,35 to 44,Injectable contraceptive,Undefined,Thousands,10.615
2015/16,45 and over,Injectable contraceptive,Undefined,Thousands,2.363
2015/16,,Injectable contraceptive,Undefined,Thousands,84.179
2015/16,15 and under,Injectable contraceptive,Undefined,Thousands,1.841
2016/17,16 to 17,Injectable contraceptive,Undefined,Thousands,6.532
2016/17,18 to 19,Injectable contraceptive,Undefined,Thousands,10.833
2016/17,20 to 24,Injectable contraceptive,Undefined,Thousands,25.764
2016/17,25 to 34,Injectable contraceptive,Undefined,Thousands,23.425
2016/17,35 to 44,Injectable contraceptive,Undefined,Thousands,10.376
2016/17,45 and over,Injectable contraceptive,Undefined,Thousands,2.341
2016/17,,Injectable contraceptive,Undefined,Thousands,80.843
2016/17,15 and under,Injectable contraceptive,Undefined,Thousands,1.561
2017/18,16 to 17,Injectable contraceptive,Undefined,Thousands,5.699
2017/18,18 to 19,Injectable contraceptive,Undefined,Thousands,9.845
2017/18,20 to 24,Injectable contraceptive,Undefined,Thousands,24.0
2017/18,25 to 34,Injectable contraceptive,Undefined,Thousands,21.98
2017/18,35 to 44,Injectable contraceptive,Undefined,Thousands,9.58
2017/18,45 and over,Injectable contraceptive,Undefined,Thousands,2.216
2017/18,,Injectable contraceptive,Undefined,Thousands,74.752
2017/18,15 and under,Injectable contraceptive,Undefined,Thousands,1.425
2014/15,16 to 17,IU device,Undefined,Thousands,0.655
2014/15,18 to 19,IU device,Undefined,Thousands,1.719
2014/15,20 to 24,IU device,Undefined,Thousands,9.251
2014/15,25 to 34,IU device,Undefined,Thousands,24.388
2014/15,35 to 44,IU device,Undefined,Thousands,14.383
2014/15,45 and over,IU device,Undefined,Thousands,3.706
2014/15,,IU device,Undefined,Thousands,54.216
2014/15,15 and under,IU device,Undefined,Thousands,0.11
2015/16,16 to 17,IU device,Undefined,Thousands,0.601
2015/16,18 to 19,IU device,Undefined,Thousands,1.768
2015/16,20 to 24,IU device,Undefined,Thousands,9.081
2015/16,25 to 34,IU device,Undefined,Thousands,23.651
2015/16,35 to 44,IU device,Undefined,Thousands,14.073
2015/16,45 and over,IU device,Undefined,Thousands,3.55
2015/16,,IU device,Undefined,Thousands,52.855
2015/16,15 and under,IU device,Undefined,Thousands,0.121
2016/17,16 to 17,IU device,Undefined,Thousands,0.623
2016/17,18 to 19,IU device,Undefined,Thousands,1.863
2016/17,20 to 24,IU device,Undefined,Thousands,9.91
2016/17,25 to 34,IU device,Undefined,Thousands,24.222
2016/17,35 to 44,IU device,Undefined,Thousands,14.102
2016/17,45 and over,IU device,Undefined,Thousands,3.385
2016/17,,IU device,Undefined,Thousands,54.198
2016/17,15 and under,IU device,Undefined,Thousands,0.091
2017/18,16 to 17,IU device,Undefined,Thousands,0.803
2017/18,18 to 19,IU device,Undefined,Thousands,2.467
2017/18,20 to 24,IU device,Undefined,Thousands,11.47
2017/18,25 to 34,IU device,Undefined,Thousands,24.799
2017/18,35 to 44,IU device,Undefined,Thousands,13.71
2017/18,45 and over,IU device,Undefined,Thousands,3.215
2017/18,,IU device,Undefined,Thousands,56.593
2017/18,15 and under,IU device,Undefined,Thousands,0.127
2014/15,16 to 17,IU system,Undefined,Thousands,0.511
2014/15,18 to 19,IU system,Undefined,Thousands,1.531
2014/15,20 to 24,IU system,Undefined,Thousands,7.718
2014/15,25 to 34,IU system,Undefined,Thousands,19.398
2014/15,35 to 44,IU system,Undefined,Thousands,23.018
2014/15,45 and over,IU system,Undefined,Thousands,15.446
2014/15,,IU system,Undefined,Thousands,67.666
2014/15,15 and under,IU system,Undefined,Thousands,0.041
2015/16,16 to 17,IU system,Undefined,Thousands,0.54
2015/16,18 to 19,IU system,Undefined,Thousands,1.564
2015/16,20 to 24,IU system,Undefined,Thousands,8.303
2015/16,25 to 34,IU system,Undefined,Thousands,20.416
2015/16,35 to 44,IU system,Undefined,Thousands,23.489
2015/16,45 and over,IU system,Undefined,Thousands,16.226
2015/16,,IU system,Undefined,Thousands,70.621
2015/16,15 and under,IU system,Undefined,Thousands,0.067
2016/17,16 to 17,IU system,Undefined,Thousands,0.556
2016/17,18 to 19,IU system,Undefined,Thousands,1.66
2016/17,20 to 24,IU system,Undefined,Thousands,9.184
2016/17,25 to 34,IU system,Undefined,Thousands,21.532
2016/17,35 to 44,IU system,Undefined,Thousands,23.026
2016/17,45 and over,IU system,Undefined,Thousands,16.215
2016/17,,IU system,Undefined,Thousands,72.229
2016/17,15 and under,IU system,Undefined,Thousands,0.053
2017/18,16 to 17,IU system,Undefined,Thousands,0.628
2017/18,18 to 19,IU system,Undefined,Thousands,1.936
2017/18,20 to 24,IU system,Undefined,Thousands,10.441
2017/18,25 to 34,IU system,Undefined,Thousands,23.389
2017/18,35 to 44,IU system,Undefined,Thousands,22.573
2017/18,45 and over,IU system,Undefined,Thousands,15.903
2017/18,,IU system,Undefined,Thousands,74.931
2017/18,15 and under,IU system,Undefined,Thousands,0.06
2014/15,16 to 17,Male condom,Undefined,Thousands,16.106
2014/15,18 to 19,Male condom,Undefined,Thousands,16.656
2014/15,20 to 24,Male condom,Undefined,Thousands,32.241
2014/15,25 to 34,Male condom,Undefined,Thousands,38.839
2014/15,35 to 44,Male condom,Undefined,Thousands,20.35
2014/15,45 and over,Male condom,Undefined,Thousands,9.501
2014/15,,Male condom,Undefined,Thousands,141.156
2014/15,15 and under,Male condom,Undefined,Thousands,7.444
2015/16,16 to 17,Male condom,Undefined,Thousands,11.931
2015/16,18 to 19,Male condom,Undefined,Thousands,13.734
2015/16,20 to 24,Male condom,Undefined,Thousands,29.14
2015/16,25 to 34,Male condom,Undefined,Thousands,37.879
2015/16,35 to 44,Male condom,Undefined,Thousands,19.625
2015/16,45 and over,Male condom,Undefined,Thousands,9.282
2015/16,,Male condom,Undefined,Thousands,126.874
2015/16,15 and under,Male condom,Undefined,Thousands,5.263
2016/17,16 to 17,Male condom,Undefined,Thousands,9.719
2016/17,18 to 19,Male condom,Undefined,Thousands,12.796
2016/17,20 to 24,Male condom,Undefined,Thousands,28.119
2016/17,25 to 34,Male condom,Undefined,Thousands,37.271
2016/17,35 to 44,Male condom,Undefined,Thousands,18.283
2016/17,45 and over,Male condom,Undefined,Thousands,8.221
2016/17,,Male condom,Undefined,Thousands,118.121
2016/17,15 and under,Male condom,Undefined,Thousands,3.692
2017/18,16 to 17,Male condom,Undefined,Thousands,8.341
2017/18,18 to 19,Male condom,Undefined,Thousands,11.787
2017/18,20 to 24,Male condom,Undefined,Thousands,26.956
2017/18,25 to 34,Male condom,Undefined,Thousands,35.832
2017/18,35 to 44,Male condom,Undefined,Thousands,17.225
2017/18,45 and over,Male condom,Undefined,Thousands,7.334
2017/18,,Male condom,Undefined,Thousands,110.61
2017/18,15 and under,Male condom,Undefined,Thousands,3.112
2017/18,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,0.164
2017/18,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,0.33
2017/18,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,1.17
2017/18,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,2.834
2017/18,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,1.398
2017/18,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,0.993
2017/18,,Natural family planning incl. rhythm method,Undefined,Thousands,6.936
2017/18,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,0.046
2014/15,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,0.303
2014/15,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,0.502
2014/15,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,1.584
2014/15,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,2.663
2014/15,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,1.393
2014/15,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,1.119
2014/15,,Natural family planning incl. rhythm method,Undefined,Thousands,7.652
2014/15,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,0.086
2015/16,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,0.153
2015/16,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,0.349
2015/16,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,1.217
2015/16,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,2.417
2015/16,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,1.24
2015/16,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,0.894
2015/16,,Natural family planning incl. rhythm method,Undefined,Thousands,6.324
2015/16,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,0.054
2016/17,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,0.135
2016/17,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,0.284
2016/17,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,1.138
2016/17,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,2.733
2016/17,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,1.254
2016/17,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,0.914
2016/17,,Natural family planning incl. rhythm method,Undefined,Thousands,6.499
2016/17,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,0.041
2014/15,16 to 17,Oral contraceptives,Undefined,Thousands,45.075
2014/15,18 to 19,Oral contraceptives,Undefined,Thousands,63.405
2014/15,20 to 24,Oral contraceptives,Undefined,Thousands,140.51
2014/15,25 to 34,Oral contraceptives,Undefined,Thousands,113.935
2014/15,35 to 44,Oral contraceptives,Undefined,Thousands,34.801
2014/15,45 and over,Oral contraceptives,Undefined,Thousands,14.818
2014/15,,Oral contraceptives,Undefined,Thousands,426.758
2014/15,15 and under,Oral contraceptives,Undefined,Thousands,14.182
2015/16,16 to 17,Oral contraceptives,Undefined,Thousands,39.467
2015/16,18 to 19,Oral contraceptives,Undefined,Thousands,59.044
2015/16,20 to 24,Oral contraceptives,Undefined,Thousands,134.734
2015/16,25 to 34,Oral contraceptives,Undefined,Thousands,111.772
2015/16,35 to 44,Oral contraceptives,Undefined,Thousands,34.619
2015/16,45 and over,Oral contraceptives,Undefined,Thousands,14.169
2015/16,,Oral contraceptives,Undefined,Thousands,405.433
2015/16,15 and under,Oral contraceptives,Undefined,Thousands,11.58
2016/17,16 to 17,Oral contraceptives,Undefined,Thousands,34.914
2016/17,18 to 19,Oral contraceptives,Undefined,Thousands,55.303
2016/17,20 to 24,Oral contraceptives,Undefined,Thousands,129.045
2016/17,25 to 34,Oral contraceptives,Undefined,Thousands,108.915
2016/17,35 to 44,Oral contraceptives,Undefined,Thousands,33.14
2016/17,45 and over,Oral contraceptives,Undefined,Thousands,13.689
2016/17,,Oral contraceptives,Undefined,Thousands,384.7
2016/17,15 and under,Oral contraceptives,Undefined,Thousands,9.655
2017/18,16 to 17,Oral contraceptives,Undefined,Thousands,31.105
2017/18,18 to 19,Oral contraceptives,Undefined,Thousands,48.814
2017/18,20 to 24,Oral contraceptives,Undefined,Thousands,112.856
2017/18,25 to 34,Oral contraceptives,Undefined,Thousands,97.846
2017/18,35 to 44,Oral contraceptives,Undefined,Thousands,29.993
2017/18,45 and over,Oral contraceptives,Undefined,Thousands,12.222
2017/18,,Oral contraceptives,Undefined,Thousands,341.741
2017/18,15 and under,Oral contraceptives,Undefined,Thousands,8.888
2017/18,16 to 17,Other methods,Undefined,Thousands,0.098
2017/18,18 to 19,Other methods,Undefined,Thousands,0.334
2017/18,20 to 24,Other methods,Undefined,Thousands,1.241
2017/18,25 to 34,Other methods,Undefined,Thousands,2.254
2017/18,35 to 44,Other methods,Undefined,Thousands,0.644
2017/18,45 and over,Other methods,Undefined,Thousands,0.325
2017/18,,Other methods,Undefined,Thousands,4.913
2017/18,15 and under,Other methods,Undefined,Thousands,0.017
2014/15,16 to 17,Other methods,Undefined,Thousands,0.061
2014/15,18 to 19,Other methods,Undefined,Thousands,0.147
2014/15,20 to 24,Other methods,Undefined,Thousands,1.031
2014/15,25 to 34,Other methods,Undefined,Thousands,1.954
2014/15,35 to 44,Other methods,Undefined,Thousands,0.724
2014/15,45 and over,Other methods,Undefined,Thousands,0.545
2014/15,,Other methods,Undefined,Thousands,4.476
2014/15,15 and under,Other methods,Undefined,Thousands,0.014
2015/16,16 to 17,Other methods,Undefined,Thousands,0.076
2015/16,18 to 19,Other methods,Undefined,Thousands,0.169
2015/16,20 to 24,Other methods,Undefined,Thousands,0.997
2015/16,25 to 34,Other methods,Undefined,Thousands,2.045
2015/16,35 to 44,Other methods,Undefined,Thousands,0.712
2015/16,45 and over,Other methods,Undefined,Thousands,0.414
2015/16,,Other methods,Undefined,Thousands,4.425
2015/16,15 and under,Other methods,Undefined,Thousands,0.011
2016/17,16 to 17,Other methods,Undefined,Thousands,0.058
2016/17,18 to 19,Other methods,Undefined,Thousands,0.152
2016/17,20 to 24,Other methods,Undefined,Thousands,1.046
2016/17,25 to 34,Other methods,Undefined,Thousands,2.226
2016/17,35 to 44,Other methods,Undefined,Thousands,0.666
2016/17,45 and over,Other methods,Undefined,Thousands,0.393
2016/17,,Other methods,Undefined,Thousands,4.558
2016/17,15 and under,Other methods,Undefined,Thousands,0.017
2014/15,16 to 17,,Undefined,Thousands,89.429
2014/15,18 to 19,,Undefined,Thousands,117.568
2014/15,20 to 24,,Undefined,Thousands,263.695
2014/15,25 to 34,,Undefined,Thousands,267.807
2014/15,35 to 44,,Undefined,Thousands,120.163
2014/15,45 and over,,Undefined,Thousands,50.671
2014/15,,,Undefined,Thousands,941.169
2014/15,15 and under,,Undefined,Thousands,31.765
2015/16,16 to 17,,Undefined,Thousands,76.088
2015/16,18 to 19,,Undefined,Thousands,108.411
2015/16,20 to 24,,Undefined,Thousands,255.091
2015/16,25 to 34,,Undefined,Thousands,268.744
2015/16,35 to 44,,Undefined,Thousands,121.018
2015/16,45 and over,,Undefined,Thousands,50.978
2015/16,,,Undefined,Thousands,905.753
2015/16,15 and under,,Undefined,Thousands,25.277
2016/17,16 to 17,,Undefined,Thousands,65.942
2016/17,18 to 19,,Undefined,Thousands,100.843
2016/17,20 to 24,,Undefined,Thousands,247.744
2016/17,25 to 34,,Undefined,Thousands,268.068
2016/17,35 to 44,,Undefined,Thousands,118.15
2016/17,45 and over,,Undefined,Thousands,49.778
2016/17,,,Undefined,Thousands,870.73
2016/17,15 and under,,Undefined,Thousands,20.114
2017/18,16 to 17,,Undefined,Thousands,59.284
2017/18,18 to 19,,Undefined,Thousands,92.231
2017/18,20 to 24,,Undefined,Thousands,229.416
2017/18,25 to 34,,Undefined,Thousands,257.134
2017/18,35 to 44,,Undefined,Thousands,113.208
2017/18,45 and over,,Undefined,Thousands,47.221
2017/18,,,Undefined,Thousands,817.018
2017/18,15 and under,,Undefined,Thousands,18.465
