Year,Age,Sex,SERIES,Observation status,Unit multiplier,UNIT_MEASURE,Reporting type,Sex1,Age1,Degree of urbanisation,Value
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,,Urban,0.70677
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.10178
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.12961
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.20023
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.30394
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.13985
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.37854
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.16871
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.38279
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.2206
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,65 years old and over,,0.25983
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.46609
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.6451
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.47919
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.40421
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.38459
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.33464
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.51656
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.32971
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.24603
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,under 15 years old,,0.46323
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.76376
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.7611
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.80888
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,1.06892
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.56731
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.6046
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.84639
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.8426
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.73974
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,,15 to 64 years old,,0.99195
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.49864
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.4531
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.57032
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.61226
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.37684
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.39485
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.64848
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.55696
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.60637
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Female,,,0.68318
2008,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.71297
2009,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.82396
2010,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.73122
2011,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,1.044
2012,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.54804
2013,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.64416
2014,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.68488
2015,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.78906
2016,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.50927
2017,,,Proportion of population below international poverty line [1.1.1],,Units,Percent,Global,Male,,,0.84559
