Year,SERIES,Type of product,Observation-level footnotes,Value
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.60478
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.53042
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,,5.70012
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.92969
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91838
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.92043
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.92043
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91164
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91164
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91158
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91165
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91231
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.88094
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91196
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,,1.91201
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,12.43237
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.37379
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.30276
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.28489
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.28763
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.28274
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.29652
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.19964
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.19492
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,10.99988
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.18852
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,,11.18978
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.3467
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.26288
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.05696
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.05208
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.06523
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.06576
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.07827
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.25323
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.22095
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.22389
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.19348
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,,1.17841
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.4378
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.22338
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,7.00567
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.50751
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.09471
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.07057
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.05506
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.04082
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.01848
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.09508
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.13314
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.0092
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.12551
2019,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Textiles,,5.13181
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.43239
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.3183
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.10921
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.10467
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.116
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.11449
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.12612
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.28469
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.25015
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.1204
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,1.05502
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",,,0.94959
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,7.79154
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,5.77923
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,5.63016
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,5.61468
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,4.89146
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,5.11923
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,5.11775
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,4.98927
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,4.9989
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,4.90661
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,4.83222
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Agriculture products,,4.3617
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.90203
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89705
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89906
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89906
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89091
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89091
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89091
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89091
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.89091
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.31003
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,1.34141
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Arms,,0.33559
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,12.07455
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,11.10714
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,11.0343
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,11.01643
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,11.01918
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,11.01615
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,11.03464
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,10.93775
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,10.93777
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,10.08708
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,10.26971
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Clothing,,8.18687
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.31925
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.23774
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.03159
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.0267
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.03975
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.04028
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.05282
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.22802
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.19553
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.10823
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,1.06563
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Industrial products,,0.96347
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.4378
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.22338
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Oil,Obs_Value = 0;  ,0.0
2000,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,6.72107
2005,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,5.2645
2010,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.86
2011,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.83586
2012,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.82098
2013,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.80736
2014,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.78567
2015,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.87149
2016,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.91373
2017,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.31335
2018,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,4.42919
2019,"Average tariff applied by developed countries, preferential status, by type of product (%)  [17.12.1]",Textiles,,3.33813
