Year,Source details,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Observation-level footnotes,Value
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 3,Lower secondary education,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 3,Lower secondary education,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 3,Lower secondary education,,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 3,Lower secondary education,,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 3,Upper secondary education,,89.65
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 3,Upper secondary education,,90.66
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 3,Upper secondary education,,88.32
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 4,Lower secondary education,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 4,Lower secondary education,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 4,Lower secondary education,,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 4,Lower secondary education,,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 4,Upper secondary education,,95.46
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 4,Upper secondary education,,97.13
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 4,Upper secondary education,,97.09
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 5 (richest),Lower secondary education,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 5 (richest),Lower secondary education,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 5 (richest),Lower secondary education,,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 5 (richest),Lower secondary education,,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 5 (richest),Upper secondary education,,94.83
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 5 (richest),Upper secondary education,,98.94
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 5 (richest),Upper secondary education,,99.13
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Rural,,Lower secondary education,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Rural,,Lower secondary education,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Rural,,Lower secondary education,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Rural,,Lower secondary education,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Rural,,Upper secondary education,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Rural,,Upper secondary education,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,92.18
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Rural,,Upper secondary education,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,93.38
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Urban,,Lower secondary education,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Urban,,Lower secondary education,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Urban,,Lower secondary education,,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Urban,,Lower secondary education,,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Urban,,Upper secondary education,,90.17
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Urban,,Upper secondary education,,93.43
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,Urban,,Upper secondary education,,93.67
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Female,,,Lower secondary education,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Female,,,Lower secondary education,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Female,,,Lower secondary education,,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Female,,,Lower secondary education,,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Female,,,Upper secondary education,,92.43
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Female,,,Upper secondary education,,93.78
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Female,,,Upper secondary education,,97.08
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Male,,,Lower secondary education,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Male,,,Lower secondary education,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Male,,,Lower secondary education,,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Male,,,Lower secondary education,,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Male,,,Upper secondary education,,90.21
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Male,,,Upper secondary education,,92.81
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",Male,,,Upper secondary education,,90.71
