Year,Source details,SERIES,UNIT_MEASURE,Observation-level footnotes,Value
1991,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.6645
1992,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.967
1993,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.6696
1994,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-0.8791
1995,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.0015
1996,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-0.7297
1997,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-0.09
1998,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-0.3193
1999,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-2.5162
2000,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-2.3005
2001,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-2.1364
2002,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-2.162
2003,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.8112
2004,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-2.3303
2005,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.9695
2006,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-2.8641
2007,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.392
2008,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.9608
2009,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.307
2010,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.1216
2011,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-1.8045
2012,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.4981
2013,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-4.903
2014,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-4.8739
2015,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-5.0209
2016,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-5.4848
2017,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.7721
2018,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.6678
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.0926
2020,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,,-3.524
1970,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-11999990.4168
1971,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-1613180551.6891
1972,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,255506646.5166
1973,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-1260910265.3316
1974,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-5246493759.1888
1975,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,690317822.1499
1976,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-882500664.6471
1977,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-3141714138.3698
1978,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,2197928872.6205
1979,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-1748317816.0982
1980,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,4784919732.5626
1981,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,8930164441.5374
1982,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,13077366304.3592
1983,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,8501251233.456
1984,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,14243522233.8481
1985,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,17546886462.3294
1986,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-3393537737.4979
1987,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-68320904254.6068
1988,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-32453773617.5207
1989,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,33715961159.402
1990,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,6106006796.8382
1991,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,38680410246.83
1992,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,33077939198.7394
1993,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,89915828291.1182
1994,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-78480400272.7344
1995,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,2905678029.1705
1996,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,25371754220.5975
1997,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,41346954384.0869
1998,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,18073369968.3304
1999,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-154018480425.02
2000,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-159856959721.934
2001,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,182490095378.051
2002,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-63594162487.8864
2003,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-146354720554.254
2004,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-2099837254.4714
2005,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-74709372289.7985
2006,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,128266075163.908
2007,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-153371286722.032
2008,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-763019281788.273
2009,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-204752659899.685
2010,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-196743915353.272
2011,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-220164632739.89
2012,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,280653142614.204
2013,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-285161086534.992
2014,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,16053761167.2617
2015,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-230744215939.371
2016,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-211513365111.291
2017,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-130541635497.43
2018,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,-360465312984.49
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,48201025163.4308
2020,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,,15502748586.046
1970,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.1387
1971,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.1959
1972,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,0.7107
1973,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.4141
1974,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.1218
1975,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.3727
1976,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.2924
1977,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.6827
1978,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.1276
1979,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.4737
1980,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.7918
1981,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.0872
1982,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.051
1983,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.0577
1984,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,-0.0753
1985,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.1193
1986,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.4248
1987,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.7546
1988,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.9041
1989,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.9247
1990,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,3.7838
1991,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.034
1992,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.9507
1993,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.8548
1994,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.7152
1995,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.1712
1996,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.29
1997,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,3.293
1998,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,6.6491
1999,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,7.7216
2000,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,9.8981
2001,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,3.423
2002,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,5.0425
2003,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.7559
2004,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,3.6094
2005,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,9.9753
2006,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,7.5253
2007,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,6.773
2008,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,8.6757
2009,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,0.603
2010,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.6892
2011,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.0155
2012,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.7289
2013,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.9572
2014,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.9211
2015,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,1.5457
2016,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,12.0603
2017,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,4.7083
2018,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,2.8404
2019,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,,0.079
1995,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","Gross public sector debt, Central Government, as a proportion of GDP (%) [17.13.1]",Percent,Quarter four data of the year in reference,42.7234
