Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Disability status,Observation-level footnotes,Source details,Value
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,21.3
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,21.2
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,20.7
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,17.0
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,14.6
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,13.0
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.1
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,11.3
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,11.2
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.9
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.1
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.4
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.1
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.2
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.3
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.0
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.0
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.1
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.4
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.9
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,7.3
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,7.4
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,7.0
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.8
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.1
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.7
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.2
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.9
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.5
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.9
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.3
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.6
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.1
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.2
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.0
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.6
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.5
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.7
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.7
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.0
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.4
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.5
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.2
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.4
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.9
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.7
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.2
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.0
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,2.7
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,10.4
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.7
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.8
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,9.5
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,9.7
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,11.0
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.0
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.6
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.8
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,16.1
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,17.6
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,18.5
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,18.2
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,18.1
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,14.8
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,12.9
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,11.1
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,10.6
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,10.3
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Female,15 to 24 years old,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,9.2
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.1
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.2
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.6
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.4
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.9
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.1
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.7
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.5
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.1
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.5
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.6
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.6
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.3
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,8.0
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,6.4
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,5.5
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.9
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.4
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.1
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,15 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.9
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.9
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.1
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.4
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,4.1
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.8
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.5
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,Unemployment rate [8.5.2],Male,25 years old and over,,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,3.9
