Year,SERIES,Type of product,UNIT_MEASURE,Base period,Value
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,3.42684
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,3.228
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Metric Tons,,3.03145
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.18497
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.20034
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.20558
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.19594
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.19822
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.20667
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.30249
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.28734
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.26784
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.27576
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.31102
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.29214
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.28296
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.30393
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.28029
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.28887
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.29772
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Metric Tons,,0.30673
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.24099
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.07171
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.21917
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.12061
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.16792
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.17067
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.13807
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.09026
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.17005
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.02406
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,1.99471
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.06302
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,1.91183
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.02079
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.14351
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.13506
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.12474
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Biomass (material flows),Metric Tons,,2.1145
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.93441
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.92266
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.98896
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.91145
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.95593
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.93967
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.91278
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.88265
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.97264
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.9256
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.84987
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.90439
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.84583
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.94875
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,1.00105
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.99954
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.99791
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crops (material flows),Metric Tons,,0.99626
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.31916
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.26209
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.31417
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.30305
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.30568
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.29832
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.29117
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.2716
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.3237
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.29063
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.28629
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.29923
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.26958
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.26617
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.31882
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.31828
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.31769
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Crop residues (material flows),Metric Tons,,0.3171
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.5775
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.4711
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.51207
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.50626
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.51116
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.52266
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.54019
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.54326
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.53161
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.49357
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.51613
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.53924
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.50476
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.50173
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.50233
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.50213
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.50185
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Grazed biomass and fodder crops (material flows),Metric Tons,,0.50157
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.39385
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.39864
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.38745
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.38552
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.38082
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.39536
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.37829
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.37871
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.3282
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.30182
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.33137
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.30856
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.2801
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.29268
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.30802
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.30216
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.29467
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wood (material flows),Metric Tons,,0.28727
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01607
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01723
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01652
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01432
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01433
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01467
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01564
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01404
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01391
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01244
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01106
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01159
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01155
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01145
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01329
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01295
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.01262
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Wild catch and harvest (material flows),Metric Tons,,0.0123
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.27808
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.32654
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.29519
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.268
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.26451
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.25717
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.2585
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.29515
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.20216
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.06281
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.11921
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.10658
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.09766
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.13361
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.16387
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.15006
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.13755
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metal ores (material flows),Metric Tons,,0.12517
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.25246
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.29751
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.27613
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.25443
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.24606
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.23762
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.23988
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.28425
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.19479
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.06118
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.11484
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.10658
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.09766
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.13264
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.1627
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.15006
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.13755
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,,0.12517
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.02562
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.02904
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.01906
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.01357
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.01845
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.01955
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.01862
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.01091
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.00737
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.00163
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.00436
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.00096
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,0.00117
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.32191
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.5096
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.14481
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.06737
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.20858
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.97763
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.05015
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,6.02667
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,5.25853
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,4.22026
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,4.01895
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,4.13157
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.85328
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.83583
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,3.90779
