Year,Observation-level footnotes,SERIES,Sex,COMPOSITE_BREAKDOWN,Value
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.2
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2001,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.0
2002,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2003,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2004,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2005,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2006,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.0
2009,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2010,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2011,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2012,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.1
2013,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.2
2014,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.2
2015,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,,0.2
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: EU Migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Female,Migrant Status: Non-EU Migrant,0.0
2000,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.6
2001,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.6
2002,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.4
2003,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.3
2004,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.3
2005,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.2
2006,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.4
2009,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,0.9
2010,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,0.9
2011,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.2
2012,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.0
2013,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.6
2014,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.4
2015,Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,,1.4
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: EU Migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.1
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.3
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Coverage of occupational injuries: Reported injuries,Fatal occupational injuries among employees (rate) [8.8.1],Male,Migrant Status: Non-EU Migrant,0.0
2000,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,645.2
2001,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,623.3
2002,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,614.5
2003,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,630.0
2004,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,585.0
2005,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,562.0
2006,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,514.6
2009,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,912.8
2010,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,906.0
2011,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,864.7
2012,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,776.3
2013,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,831.5
2014,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,827.1
2015,Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,,759.6
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,3.1
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: EU Migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,987.3
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,1.4
2015,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-migrant,0.0
2009,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2010,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2011,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2012,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2013,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,0.0
2014,Obs_Value = 0.0;  Repository: ILO calculations based on Eurostat data | Reference group coverage: Employees | Coverage of occupational injuries: Reported injuries | Definition of permanent incapacity: Permanent incapacity is defined as 183 or days of absence from work,Non-fatal occupational injuries among employees (rate) [8.8.1],,Migrant Status: Non-EU Migrant,3.1
