Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2020,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,100
2000,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2001,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2002,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2003,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2004,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2005,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2006,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2007,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2008,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2009,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2010,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2011,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2012,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2013,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2014,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2015,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2016,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2017,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2018,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2019,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2020,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,100
2000,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2001,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2002,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2003,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2004,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2005,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2006,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2007,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2008,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2009,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2010,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2011,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2012,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2013,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2014,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2015,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2016,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2017,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2018,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2019,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2020,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic drinking water services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,100
2000,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2001,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2002,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2003,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2004,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2005,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2006,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2007,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2008,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2009,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2010,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2011,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2012,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2013,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2014,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2015,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2016,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2017,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2018,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2019,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2020,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,,Percent,99
2000,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2001,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2002,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2003,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2004,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2005,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2006,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2007,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2008,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2009,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2010,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2011,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2012,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2013,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2014,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2015,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2016,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2017,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2018,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2019,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2020,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Rural,Percent,99
2000,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2001,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2002,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2003,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2004,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2005,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2006,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2007,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2008,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2009,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2010,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
2011,Normal value,Units,Estimated,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2021)",Annual,Global,Proportion of population using basic sanitation services [1.4.1],United Kingdom of Great Britain and Northern Ireland,Urban,Percent,99
