Year,COMMENT_OBS,SERIES,URBANISATION,Value
2015,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2016,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2017,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2018,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2019,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2020,Obs_Value = 0;  ,SH_SAN_DEFECT,R,0
2000,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2001,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2002,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2003,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2004,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2005,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2006,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2007,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2008,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2009,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2010,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2011,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2012,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2013,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2014,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2015,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2016,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2017,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2018,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2019,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2020,Obs_Value = 0;  ,SH_SAN_DEFECT,U,0
2000,,SH_SAN_SAFE,,98
2001,,SH_SAN_SAFE,,98
2002,,SH_SAN_SAFE,,98
2003,,SH_SAN_SAFE,,98
2004,,SH_SAN_SAFE,,98
2005,,SH_SAN_SAFE,,98
2006,,SH_SAN_SAFE,,98
2007,,SH_SAN_SAFE,,98
2008,,SH_SAN_SAFE,,98
2009,,SH_SAN_SAFE,,98
2010,,SH_SAN_SAFE,,98
2011,,SH_SAN_SAFE,,98
2012,,SH_SAN_SAFE,,98
2013,,SH_SAN_SAFE,,98
2014,,SH_SAN_SAFE,,98
2015,,SH_SAN_SAFE,,98
2016,,SH_SAN_SAFE,,98
2017,,SH_SAN_SAFE,,98
2018,,SH_SAN_SAFE,,98
2019,,SH_SAN_SAFE,,98
2020,,SH_SAN_SAFE,,98
2000,,SH_SAN_SAFE,R,94
2001,,SH_SAN_SAFE,R,94
2002,,SH_SAN_SAFE,R,94
2003,,SH_SAN_SAFE,R,94
2004,,SH_SAN_SAFE,R,94
2005,,SH_SAN_SAFE,R,94
2006,,SH_SAN_SAFE,R,94
2007,,SH_SAN_SAFE,R,94
2008,,SH_SAN_SAFE,R,94
2009,,SH_SAN_SAFE,R,94
2010,,SH_SAN_SAFE,R,94
2011,,SH_SAN_SAFE,R,94
2012,,SH_SAN_SAFE,R,94
2013,,SH_SAN_SAFE,R,94
2014,,SH_SAN_SAFE,R,94
2015,,SH_SAN_SAFE,R,94
2016,,SH_SAN_SAFE,R,94
2017,,SH_SAN_SAFE,R,94
2018,,SH_SAN_SAFE,R,94
2019,,SH_SAN_SAFE,R,94
2020,,SH_SAN_SAFE,R,94
2000,,SH_SAN_SAFE,U,99
2001,,SH_SAN_SAFE,U,99
2002,,SH_SAN_SAFE,U,99
2003,,SH_SAN_SAFE,U,99
2004,,SH_SAN_SAFE,U,99
2005,,SH_SAN_SAFE,U,99
2006,,SH_SAN_SAFE,U,99
2007,,SH_SAN_SAFE,U,99
2008,,SH_SAN_SAFE,U,99
2009,,SH_SAN_SAFE,U,99
2010,,SH_SAN_SAFE,U,99
2011,,SH_SAN_SAFE,U,99
2012,,SH_SAN_SAFE,U,99
2013,,SH_SAN_SAFE,U,99
2014,,SH_SAN_SAFE,U,99
2015,,SH_SAN_SAFE,U,99
2016,,SH_SAN_SAFE,U,99
2017,,SH_SAN_SAFE,U,99
2018,,SH_SAN_SAFE,U,99
2019,,SH_SAN_SAFE,U,99
2020,,SH_SAN_SAFE,U,99
