Year,SERIES,Observation-level footnotes,Value
2017,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.8
2018,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.9
2019,Proportion of population covered by at least a 2G mobile network [9.c.1],99.7% of UK premises with 2G mobile coverage from at least one mobile network in September 2018. (Form would not allow 99.7 to be submitted),99.9
2008,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),90.0
2009,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),93.0
2010,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),95.0
2011,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.1
2012,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.1
2013,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.2
2014,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.3
2015,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.6
2016,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.6
2017,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.6
2018,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.7
2019,Proportion of population covered by at least a 3G mobile network [9.c.1],99.9% UK premises with 3G/3.5G mobile coverage from at least one mobile operator September 2018 (form would not allow 99.9 to be submitted),99.7
2012,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),43.0
2013,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),70.0
2014,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),80.0
2015,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),97.8
2016,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),98.5
2017,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),99.3
2018,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),99.7
2019,Proportion of population covered by at least a 4G mobile network [9.c.1],99.9% UK Premises with LTE coverage from at least one operator in September 2018 assessed at -105dBm signal strength (form would not allow 99.9 to be submitted),99.7
