Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2018,African Development Bank Group Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2019,African Development Bank Group Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2000,Report of the Economic and Social Council for 2000 (A/55/3/Rev.1),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2005,Report of the Economic and Social Council for 2005 (A/60/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2010,Report of the Economic and Social Council for 2010 (A/65/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2015,Report of the Economic and Social Council for 2015 (A/70/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2016,Report of the Economic and Social Council on its 2016 Session (A/71/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2017,Report of the Economic and Social Council on its 2017 Session (A/72/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2018,Report of the Economic and Social Council on its 2018 Session (A/73/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2019,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.85185
2010,Charter of the Financial Stability Board (2009),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,4.16667
2015,Charter of the Financial Stability Board (2012),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,4.16667
2016,Financial Stability Board 3rd Annual Report,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,4.16667
2017,Financial Stability Board 4th Annual Report,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,4.16667
2018,Financial Stability Board 5th Annual Report,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,4.16667
2019,FSB Financial Statements March 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,4.16667
2020,FSB Financial Statements March 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,4.16667
2000,Inter-American Development Bank Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.17391
2005,Inter-American Development Bank Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.12766
2010,Inter-American Development Bank Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.08333
2015,Inter-American Development Bank Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.08333
2016,Inter-American Development Bank Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.08333
2017,Inter-American Development Bank Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.08333
2018,Inter-American Development Bank Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.08333
2019,Inter-American Development Bank Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,2.08333
2000,The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.54945
2005,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.54348
2010,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.53476
2015,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.53191
2016,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.53191
2017,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.5291
2018,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018","Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.5291
2019,IBRD Financial Statements June 2019 ,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.5291
2020,IBRD Financial Statements June 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,0.5291
2000,IFC 2000 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.57471
2005,IFC 2005 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.5618
2010,IFC 2010 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.54945
2015,IFC 2015 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.54348
2016,IFC 2016 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.54348
2017,IFC 2017 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.54348
2018,IFC 2018 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.54348
2019,IFC 2019 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.5435
2020,IFC 2020 Annual Report Volume 2,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Finance Corporation,IFC 2020 Annual Report Volume 2,0.54348
2000,IMF Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.5618
2005,IMF Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.55249
2010,IMF Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.54945
2015,IMF Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.53191
2016,IMF Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.53191
2017,IMF Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.5291
2018,IMF Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.5291
2019,IMF Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.5291
2020,IMF Annual Report 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Monetary Fund,IMF Annual Report 2020,0.5291
2000,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.5291
2005,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52356
2010,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.52083
2015,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2016,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2017,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2018,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2019,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2020,UN General Assembly website http://www.un.org/en/member-states/index.html,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN General Assembly,UN General Assembly website http://www.un.org/en/member-states/index.html,0.51813
2000,Report of the Security Council (A/55/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2005,Report of the Security Council (A/60/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2010,Report of the Security Council (A/65/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2015,Report of the Security Council (A/70/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2016,Report of the Security Council (A/71/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2017,Report of the Security Council for 2017 (A/72/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2018,Report of the Security Council for 2018 (A/73/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2019,Report of the Security Council for 2019 (A/74/2),"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2020,Security Council website https://www.un.org/securitycouncil/content/current-members,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Security Council,Security Council website https://www.un.org/securitycouncil/content/current-members,6.66667
2000,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.71429
2005,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.67114
2010,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.65359
2015,WTO Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.625
2016,WTO Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.61728
2017,WTO Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.60976
2018,WTO Annual Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.60976
2019,WTO Annual Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.60976
2020,WTO Annual Report 2020,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: World Trade Organisation,WTO Annual Report 2020,0.60976
2000,Asian Development Bank Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,2.003
2005,Asian Development Bank Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.96
2010,Asian Development Bank Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,2.154
2015,Asian Development Bank Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.934
2016,Asian Development Bank Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.932
2017,Asian Development Bank Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.932
2018,ADB Financial Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.9286
2019,ADB Financial Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.92992
2000,African Development Bank Group Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.75
2005,African Development Bank Group Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.677
2010,African Development Bank Group Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.649
2014,African Development Bank Group Annual Report 2014,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.689
2015,African Development Bank Group Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.75
2016,African Development Bank Group Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.7519
2017,African Development Bank Group Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.7519
2018,AfDB Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.8106
2019,AfDB Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,AfDB Annual Report 2019,1.80802
2000,Report of the Economic and Social Council for 2000 (A/55/3/Rev.1),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2005,Report of the Economic and Social Council for 2005 (A/60/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2010,Report of the Economic and Social Council for 2010 (A/65/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2015,Report of the Economic and Social Council for 2015 (A/70/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2016,Report of the Economic and Social Council on its 2016 Session (A/71/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2017,Report of the Economic and Social Council on its 2017 Session (A/72/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2018,Report of the Economic and Social Council on its 2018 Session (A/73/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2019,Report of the Economic and Social Council on its 2019 Session (A/74/3),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: UN Economic and Social Council,Report of the Economic and Social Council on its 2019 Session (A/74/3),1.8519
2010,Charter of the Financial Stability Board (2009),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,5.7692
2015,Charter of the Financial Stability Board (2012),"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,5.2632
2016,Financial Stability Board 3rd Annual Report,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,5.2632
2017,Financial Stability Board 4th Annual Report,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,5.2632
2018,Financial Stability Board 5th Annual Report,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,5.2632
2019,FSB Financial Statements March 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,5.2632
2020,FSB Financial Statements March 2020,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Financial Stability Board,FSB Financial Statements March 2020,5.26316
2000,Inter-American Development Bank Annual Report 2000,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2005,Inter-American Development Bank Annual Report 2005,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2010,Inter-American Development Bank Annual Report 2010,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2015,Inter-American Development Bank Annual Report 2015,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2016,Inter-American Development Bank Annual Report 2016,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2017,Inter-American Development Bank Annual Report 2017,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2018,Inter-American Development Bank Annual Report 2018,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2019,Inter-American Development Bank Annual Report 2019,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Inter-American Development Bank,Inter-American Development Bank Annual Report 2019,0.964
2000,The World Bank Annual Report 2000: Financial Statement and Appendixes to the Annual Report,"Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,4.3271
2005,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2005","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,4.3028
2010,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2010","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,4.2958
2015,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2015","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,3.932
2016,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2016","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,3.94
2017,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2017","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,3.8595
2018,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2018","Proportion of voting rights of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: International Bank for Reconstruction and Development,IBRD Financial Statements June 2020,3.7787
