Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
1981,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,2.6124
1982,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,1.5503
1983,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,1.0808
1984,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,0.3973
1985,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,0.6774
1986,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-0.2201
1987,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.6895
1988,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.8815
1989,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.6509
1990,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.5503
1991,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.6645
1992,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.967
1993,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.6696
1994,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-0.8791
1995,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.0015
1996,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-0.7297
1997,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-0.09
1998,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-0.3193
1999,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.5162
2000,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.3005
2001,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.1364
2002,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.162
2003,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.8112
2004,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.3303
2005,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.9695
2006,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-2.8641
2007,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.392
2008,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.9608
2009,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.307
2010,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.1216
2011,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-1.8045
2012,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.4981
2013,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.903
2014,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-4.8739
2015,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-5.0209
2016,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-5.4848
2017,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.7721
2018,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.6678
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.0926
2020,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",Current account balance as a proportion of GDP (%) [17.13.1],Percent,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",,,-3.524
1970,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-11999990.4168
1971,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-1613180551.6891
1972,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,255506646.5166
1973,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-1260910265.3316
1974,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-5246493759.1888
1975,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,690317822.1499
1976,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-882500664.6471
1977,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-3141714138.3698
1978,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,2197928872.6205
1979,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-1748317816.0982
1980,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,4784919732.5626
1981,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,8930164441.5374
1982,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,13077366304.3592
1983,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,8501251233.456
1984,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,14243522233.8481
1985,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,17546886462.3294
1986,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-3393537737.4979
1987,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-68320904254.6068
1988,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-32453773617.5207
1989,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,33715961159.402
1990,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,6106006796.8382
1991,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,38680410246.83
1992,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,33077939198.7394
1993,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,89915828291.1182
1994,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-78480400272.7344
1995,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,2905678029.1705
1996,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,25371754220.5975
1997,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,41346954384.0869
1998,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,18073369968.3304
1999,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-154018480425.02
2000,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-159856959721.934
2001,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,182490095378.051
2002,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-63594162487.8864
2003,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-146354720554.254
2004,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-2099837254.4714
2005,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-74709372289.7985
2006,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,128266075163.908
2007,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-153371286722.032
2008,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-763019281788.273
2009,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-204752659899.685
2010,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-196743915353.272
2011,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-220164632739.89
2012,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,280653142614.204
2013,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-285161086534.992
2014,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,16053761167.2617
2015,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-230744215939.371
2016,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-211513365111.291
2017,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-130541635497.43
2018,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,-360465312984.49
2019,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,48201025163.4308
2020,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.","Portfolio investment, net (Balance of Payments, current United States dollars) [17.13.1]",USD,"International Monetary Fund, Balance of Payments Statistics Yearbook and data files.",,,15502748586.046
1970,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,1.1387
1971,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,1.1959
1972,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,0.7107
1973,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,1.4141
1974,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,2.1218
1975,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,1.3727
1976,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,1.2924
1977,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.","Foreign direct investment, net inflows, as a proportion of GDP (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",,,1.6827
