Year,SERIES,Product,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,REPORTING_TYPE,Value
2016,Tourism direct GDP as a proportion of total GDP [8.9.1],Sport and recreation activities,Percent,Units,Normal value,National,0.159062832
2016,Tourism direct GDP as a proportion of total GDP [8.9.1],Exhibitions & Conferences etc.,Percent,Units,Normal value,National,0.022713057
2016,Tourism direct GDP as a proportion of total GDP [8.9.1],Other consumption products,Percent,Units,Normal value,National,2.384601739
2016,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Units,Normal value,National,5.955700526
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Accommodation services for visitors,Percent,Units,Normal value,National,-0.259442683
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Food and beverage serving activities,Percent,Units,Normal value,National,1.231612123
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Railway passenger transport services,Percent,Units,Normal value,National,0.149299221
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Road passenger transport services,Percent,Units,Normal value,National,0.077793526
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Water passenger transport services,Percent,Units,Normal value,National,0.048081451
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Air passenger transport services,Percent,Units,Normal value,National,0.164284465
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Transport equipment rental services,Percent,Units,Normal value,National,0.105358909
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Travel agencies and other reservation services,Percent,Units,Normal value,National,0.093219845
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Cultural activities,Percent,Units,Normal value,National,0.148942932
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Sport and recreation activities,Percent,Units,Normal value,National,0.181589069
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Exhibitions & Conferences etc.,Percent,Units,Normal value,National,0.015882776
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],Other consumption products,Percent,Units,Normal value,National,2.233938721
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Units,Normal value,National,5.88279442
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Accommodation services for visitors,Percent,Units,Normal value,National,-0.208272842
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Food and beverage serving activities,Percent,Units,Normal value,National,1.206358178
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Railway passenger transport services,Percent,Units,Normal value,National,0.14288167
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Road passenger transport services,Percent,Units,Normal value,National,0.080154243
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Water passenger transport services,Percent,Units,Normal value,National,0.037148996
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Air passenger transport services,Percent,Units,Normal value,National,0.176482646
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Transport equipment rental services,Percent,Units,Normal value,National,0.081845718
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Travel agencies and other reservation services,Percent,Units,Normal value,National,0.095597153
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Cultural activities,Percent,Units,Normal value,National,0.158121864
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Sport and recreation activities,Percent,Units,Normal value,National,0.149537369
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Exhibitions & Conferences etc.,Percent,Units,Normal value,National,0.018128472
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],Other consumption products,Percent,Units,Normal value,National,2.178713672
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Units,Normal value,National,5.720889829
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Accommodation services for visitors,Percent,Units,Normal value,National,-0.229002828
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Food and beverage serving activities,Percent,Units,Normal value,National,1.263808889
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Railway passenger transport services,Percent,Units,Normal value,National,0.14281278
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Road passenger transport services,Percent,Units,Normal value,National,0.089763415
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Water passenger transport services,Percent,Units,Normal value,National,0.045371096
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Air passenger transport services,Percent,Units,Normal value,National,0.15228027
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Transport equipment rental services,Percent,Units,Normal value,National,0.147153827
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Travel agencies and other reservation services,Percent,Units,Normal value,National,0.089427137
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Cultural activities,Percent,Units,Normal value,National,0.164190833
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Sport and recreation activities,Percent,Units,Normal value,National,0.181957076
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Exhibitions & Conferences etc.,Percent,Units,Normal value,National,0.028467815
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],Other consumption products,Percent,Units,Normal value,National,2.547842416
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],,Percent,Units,Normal value,National,6.458286941
