Year,SERIES,UNIT_MEASURE,Type of product,Observation status,Unit multiplier,Reporting type,Base period,Value
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Millions,National,,142.3796
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,16.9655
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,20.3047
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,18.8867
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,17.4026
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,19.2925
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,17.2714
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,18.0785
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,20.5299
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,15.4372
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,6.2542
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,9.4378
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,8.9774
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,9.8523
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,12.6564
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,14.8838
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,13.634
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,12.1942
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,11.5622
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,11.2524
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Millions,National,,13.3974
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,298.0389
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,303.8595
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,289.7323
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,283.8125
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,295.0795
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,284.7195
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,284.1623
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,289.5371
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,256.2828
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,205.8792
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,203.1572
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,200.9767
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,186.8586
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,198.9032
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,213.5014
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,209.5642
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,219.9657
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,221.1788
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,226.4037
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Millions,National,,216.7549
2000,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,738.8485
2001,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,743.2789
2002,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,721.972
2003,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,723.0251
2004,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,751.9634
2005,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,732.6655
2006,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,724.2632
2007,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,718.9227
2008,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,674.9295
2009,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,591.6201
2010,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,575.3487
2011,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,575.5522
2012,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,557.4719
2013,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,572.7743
2014,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,588.3881
2015,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,566.5515
2016,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,558.3661
2017,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,569.638
2018,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,565.6744
2019,"Domestic material consumption [8.4.2,12.2.2]",Metric Tons,,Normal value,Millions,National,,566.7899
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.976305104
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.856998533
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.952419796
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.861216478
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.900064126
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.852854727
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.756141039
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.6411129
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.736403725
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.627689093
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.558470233
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.607417586
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.498719489
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.648349863
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.802928853
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.684629223
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.565943539
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.765882293
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.629217339
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Biomass (material flows),Normal value,Units,National,,2.755455351
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,4.085575373
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,4.097723588
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,3.899702854
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,4.096783619
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,4.239520547
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,4.151945013
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,4.039325189
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,3.904109773
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,3.660530451
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,3.352567791
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,3.080657678
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,3.045166445
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,3.048170608
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,2.859165901
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,2.641911469
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,2.47075589
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,2.270210477
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,2.204203441
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,2.174874747
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Fossil fuels (material flows),Normal value,Units,National,,2.131533247
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.288107041
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.343489495
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.318141744
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.29181043
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.321807888
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.285887493
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.297211926
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.334804463
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.249696832
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.100452155
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.150380526
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.141856355
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.154654978
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.197430323
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.230410966
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.209399368
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.185751127
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.175078133
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.169373174
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Metal ores (material flows),Normal value,Units,National,,0.200569488
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,5.061277619
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,5.140314614
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,4.880468221
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,4.759027257
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,4.922063526
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,4.712863113
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,4.671649994
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,4.72181128
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,4.145376313
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.306739366
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.237077135
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.17573263
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,2.933184397
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.10274036
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.30514141
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.218616043
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.350681195
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.349152529
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.407869732
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,Non-metallic minerals (material flows),Normal value,Units,National,,3.244989281
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,12.5
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,12.6
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,12.2
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,12.1
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,12.5
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,12.1
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,11.9
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,11.7
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,10.9
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,9.5
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,9.2
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,9.1
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,8.8
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,8.9
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,9.1
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,8.7
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,8.5
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,8.6
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,8.5
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Metric Tons,,Normal value,Units,National,,8.485285223
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,53.55919861
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,53.83188603
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,53.24135029
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,46.96595891
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,42.77453457
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,42.71814635
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,41.14149788
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,36.63848173
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,43.27725601
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,51.01364641
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,50.24923086
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,50.01823855
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,49.02687184
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,52.79422916
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,53.07466187
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Tonnes per $m,Biomass (material flows),Normal value,Units,National,,54.45478729
