Year,SERIES,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,URBANISATION,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2002,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2003,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2004,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2005,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2006,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2007,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2008,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2009,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2010,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2011,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2012,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2013,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2014,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2015,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2016,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2017,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2018,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2019,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2020,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
2000,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2001,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2002,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2003,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2004,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2005,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2006,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2007,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2008,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2009,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2010,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2011,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2012,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2013,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2014,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2015,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2016,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2017,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2018,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2019,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2020,SP_ACS_BSRVH2O,,PT,,G,,2021-05-20,2020,100
2000,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2001,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2002,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2003,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2004,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2005,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2006,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2007,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2008,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2009,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2010,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2011,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2012,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2013,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2014,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2015,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2016,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2017,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2018,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2019,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2020,SP_ACS_BSRVH2O,,PT,,G,R,2021-05-20,2020,100
2000,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2001,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2002,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2003,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2004,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2005,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2006,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2007,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2008,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2009,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2010,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2011,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2012,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2013,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2014,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2015,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2016,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2017,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2018,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2019,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2020,SP_ACS_BSRVH2O,,PT,,G,U,2021-05-20,2020,100
2000,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2001,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2002,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2003,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2004,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2005,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2006,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2007,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2008,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2009,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2010,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2011,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2012,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2013,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2014,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2015,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2016,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2017,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2018,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2019,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2020,SP_ACS_BSRVSAN,,PT,,G,,2021-05-20,2020,99
2000,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2001,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2002,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2003,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2004,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2005,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2006,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2007,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2008,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2009,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2010,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2011,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2012,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2013,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2014,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2015,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2016,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2017,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2018,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2019,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2020,SP_ACS_BSRVSAN,,PT,,G,R,2021-05-20,2020,99
2000,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2001,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2002,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2003,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2004,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2005,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2006,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2007,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2008,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2009,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2010,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2011,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2012,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2013,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2014,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2015,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2016,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2017,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2018,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2019,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
2020,SP_ACS_BSRVSAN,,PT,,G,U,2021-05-20,2020,99
