Year,Productivity,Outputs,Inputs,Observation status,Unit multiplier,Value
1997,Productivity by land,,,Definition differs,Units,127.9962255
1998,Productivity by land,,,Definition differs,Units,128.2113468
1999,Productivity by land,,,Definition differs,Units,130.3283088
2000,Productivity by land,,,Definition differs,Units,127.9206111
2001,Productivity by land,,,Definition differs,Units,121.6269099
2002,Productivity by land,,,Definition differs,Units,126.3863492
2003,Productivity by land,,,Definition differs,Units,125.5409458
2004,Productivity by land,,,Definition differs,Units,126.8009873
2005,Productivity by land,,,Definition differs,Units,128.2877436
2006,Productivity by land,,,Definition differs,Units,122.4038277
2007,Productivity by land,,,Definition differs,Units,122.4859996
2008,Productivity by land,,,Definition differs,Units,128.1847703
2009,Productivity by land,,,Definition differs,Units,125.2257067
2010,Productivity by land,,,Definition differs,Units,127.5512592
2011,Productivity by land,,,Definition differs,Units,133.8087105
2012,Productivity by land,,,Definition differs,Units,126.7330607
2013,Productivity by land,,,Definition differs,Units,128.5252156
2014,Productivity by land,,,Definition differs,Units,137.7985625
2015,Productivity by land,,,Definition differs,Units,141.2451965
2016,Productivity by land,,,Definition differs,Units,135.7360723
2017,Productivity by land,,,Definition differs,Units,140.2032873
2018,Productivity by land,,,Definition differs,Units,137.9034683
2019,Productivity by land,,,Definition differs,Units,141.9356231
2020,Productivity by land,,,Definition differs,Units,135.9440528
1973,Productivity by intermediate consumption,,,Definition differs,Units,100.0
1974,Productivity by intermediate consumption,,,Definition differs,Units,107.8775234
1975,Productivity by intermediate consumption,,,Definition differs,Units,103.6456204
1976,Productivity by intermediate consumption,,,Definition differs,Units,97.71684428
1977,Productivity by intermediate consumption,,,Definition differs,Units,104.2706786
1978,Productivity by intermediate consumption,,,Definition differs,Units,107.7454127
1979,Productivity by intermediate consumption,,,Definition differs,Units,105.9130386
1980,Productivity by intermediate consumption,,,Definition differs,Units,111.0755513
1981,Productivity by intermediate consumption,,,Definition differs,Units,113.4436749
1982,Productivity by intermediate consumption,,,Definition differs,Units,112.561364
1983,Productivity by intermediate consumption,,,Definition differs,Units,108.6240601
1984,Productivity by intermediate consumption,,,Definition differs,Units,119.4673492
1985,Productivity by intermediate consumption,,,Definition differs,Units,114.0578508
1986,Productivity by intermediate consumption,,,Definition differs,Units,113.216912
1987,Productivity by intermediate consumption,,,Definition differs,Units,111.0231281
1988,Productivity by intermediate consumption,,,Definition differs,Units,108.7944935
1989,Productivity by intermediate consumption,,,Definition differs,Units,112.3326182
1990,Productivity by intermediate consumption,,,Definition differs,Units,112.5166627
1991,Productivity by intermediate consumption,,,Definition differs,Units,114.8567719
1992,Productivity by intermediate consumption,,,Definition differs,Units,115.7765362
1993,Productivity by intermediate consumption,,,Definition differs,Units,111.9067082
1994,Productivity by intermediate consumption,,,Definition differs,Units,110.8883647
1995,Productivity by intermediate consumption,,,Definition differs,Units,107.2586336
1996,Productivity by intermediate consumption,,,Definition differs,Units,105.8613661
1997,Productivity by intermediate consumption,,,Definition differs,Units,107.4902523
1998,Productivity by intermediate consumption,,,Definition differs,Units,111.0318695
1999,Productivity by intermediate consumption,,,Definition differs,Units,115.7098312
2000,Productivity by intermediate consumption,,,Definition differs,Units,120.4794171
2001,Productivity by intermediate consumption,,,Definition differs,Units,117.7917938
2002,Productivity by intermediate consumption,,,Definition differs,Units,124.8942721
2003,Productivity by intermediate consumption,,,Definition differs,Units,123.6835857
2004,Productivity by intermediate consumption,,,Definition differs,Units,121.9046099
2005,Productivity by intermediate consumption,,,Definition differs,Units,126.7800406
2006,Productivity by intermediate consumption,,,Definition differs,Units,126.3097402
2007,Productivity by intermediate consumption,,,Definition differs,Units,122.6455464
2008,Productivity by intermediate consumption,,,Definition differs,Units,127.1784135
2009,Productivity by intermediate consumption,,,Definition differs,Units,122.392487
2010,Productivity by intermediate consumption,,,Definition differs,Units,119.4597794
2011,Productivity by intermediate consumption,,,Definition differs,Units,126.7337251
2012,Productivity by intermediate consumption,,,Definition differs,Units,120.4284725
2013,Productivity by intermediate consumption,,,Definition differs,Units,119.3632564
2014,Productivity by intermediate consumption,,,Definition differs,Units,125.9727148
2015,Productivity by intermediate consumption,,,Definition differs,Units,126.3058091
2016,Productivity by intermediate consumption,,,Definition differs,Units,121.8653198
2017,Productivity by intermediate consumption,,,Definition differs,Units,126.8387864
2018,Productivity by intermediate consumption,,,Definition differs,Units,127.9322768
2019,Productivity by intermediate consumption,,,Definition differs,Units,133.1292406
2020,Productivity by intermediate consumption,,,Definition differs,Units,127.4326095
1973,Productivity by capital consumption,,,Definition differs,Units,100.0
1974,Productivity by capital consumption,,,Definition differs,Units,100.4362721
1975,Productivity by capital consumption,,,Definition differs,Units,95.21329224
1976,Productivity by capital consumption,,,Definition differs,Units,91.51862252
1977,Productivity by capital consumption,,,Definition differs,Units,96.23250581
1978,Productivity by capital consumption,,,Definition differs,Units,99.00383838
1979,Productivity by capital consumption,,,Definition differs,Units,99.95427648
1980,Productivity by capital consumption,,,Definition differs,Units,102.0846546
1981,Productivity by capital consumption,,,Definition differs,Units,101.6835157
1982,Productivity by capital consumption,,,Definition differs,Units,107.2762839
1983,Productivity by capital consumption,,,Definition differs,Units,104.5800732
1984,Productivity by capital consumption,,,Definition differs,Units,110.9418569
1985,Productivity by capital consumption,,,Definition differs,Units,105.65512
1986,Productivity by capital consumption,,,Definition differs,Units,105.9402187
1987,Productivity by capital consumption,,,Definition differs,Units,104.1871942
1988,Productivity by capital consumption,,,Definition differs,Units,104.2651088
1989,Productivity by capital consumption,,,Definition differs,Units,105.723188
1990,Productivity by capital consumption,,,Definition differs,Units,105.5605138
1991,Productivity by capital consumption,,,Definition differs,Units,108.1704472
1992,Productivity by capital consumption,,,Definition differs,Units,109.2327766
1993,Productivity by capital consumption,,,Definition differs,Units,106.800028
1994,Productivity by capital consumption,,,Definition differs,Units,108.0462775
1995,Productivity by capital consumption,,,Definition differs,Units,107.3178714
1996,Productivity by capital consumption,,,Definition differs,Units,105.1177641
1997,Productivity by capital consumption,,,Definition differs,Units,105.2141199
1998,Productivity by capital consumption,,,Definition differs,Units,105.9946894
1999,Productivity by capital consumption,,,Definition differs,Units,108.845268
2000,Productivity by capital consumption,,,Definition differs,Units,107.1469057
2001,Productivity by capital consumption,,,Definition differs,Units,105.0780277
2002,Productivity by capital consumption,,,Definition differs,Units,110.6286723
2003,Productivity by capital consumption,,,Definition differs,Units,111.2664423
2004,Productivity by capital consumption,,,Definition differs,Units,113.171863
2005,Productivity by capital consumption,,,Definition differs,Units,115.6164124
2006,Productivity by capital consumption,,,Definition differs,Units,113.2611979
2007,Productivity by capital consumption,,,Definition differs,Units,112.6748586
2008,Productivity by capital consumption,,,Definition differs,Units,116.8500591
2009,Productivity by capital consumption,,,Definition differs,Units,113.047898
2010,Productivity by capital consumption,,,Definition differs,Units,115.2321564
2011,Productivity by capital consumption,,,Definition differs,Units,117.8308323
2012,Productivity by capital consumption,,,Definition differs,Units,109.826833
2013,Productivity by capital consumption,,,Definition differs,Units,109.8475001
2014,Productivity by capital consumption,,,Definition differs,Units,116.0749998
2015,Productivity by capital consumption,,,Definition differs,Units,116.6507106
2016,Productivity by capital consumption,,,Definition differs,Units,112.7486651
2017,Productivity by capital consumption,,,Definition differs,Units,115.175845
2018,Productivity by capital consumption,,,Definition differs,Units,111.1191852
2019,Productivity by capital consumption,,,Definition differs,Units,114.154407
2020,Productivity by capital consumption,,,Definition differs,Units,108.2569197
