Year,SOURCE_DETAIL,SDG Series,Age,Education level,Composite breakdown,Source details,COMMENT_OBS,Observation-level footnotes,Value
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,0.90689
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,0.92248
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.","Adjusted wealth parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,0.94886
2010,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Sending e-mails with attached files,Eurostat,,,0.95059
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Sending e-mails with attached files,Eurostat,,,0.94523
2013,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Sending e-mails with attached files,Eurostat,,,0.93621
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: connecting and installing new devices,Eurostat,,,0.71941
2012,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: connecting and installing new devices,Eurostat,,,0.72569
2014,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: connecting and installing new devices,Eurostat,,,0.80251
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,,,0.92968
2012,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,,,0.91303
2014,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,,,0.96231
2015,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,,,0.8813
2016,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,,,0.89418
2017,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Copying or moving a file or folder,Eurostat,,,0.8556
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,,,0.95837
2012,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,,,0.96703
2014,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,,,0.99977
2015,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,,,0.91601
2016,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,,,0.94428
2017,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using copy and paste tools to duplicate or move information within a document,Eurostat,,,0.88365
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,,,0.56262
2012,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,,,0.4582
2014,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,,,0.5454
2015,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,,,0.43065
2016,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,,,0.49548
2017,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Writing a computer program using a specialized programming language,Eurostat,,,0.46834
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,,,0.8118
2012,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,,,0.87138
2014,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,,,0.85871
2015,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,,,0.89724
2016,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,,,1.00518
2017,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Creating electronic presentations with presentation software,Eurostat,,,0.85262
2015,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Eurostat,,,0.82976
2016,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Eurostat,,,0.90075
2017,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,"Skill: ICT Skill: Finding, downloading, installing and configuring software",Eurostat,,,0.88323
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,,,0.83904
2012,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,,,0.74027
2014,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,,,0.91518
2015,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,,,0.8163
2016,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,,,0.94127
2017,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Using basic arithmetic formula in a spreadsheet,Eurostat,,,0.80275
2011,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,,,0.8673
2012,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,,,0.85742
2014,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,,,0.91813
2015,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,,,0.85249
2016,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,,,0.89647
2017,Eurostat,Gender parity index for youth/adults with information and communications technology (ICT) skills [4.5.1],,,Skill: ICT Skill: Transferring files between a computer and other devices,Eurostat,,,0.78523
2007,Adult Education Survey (AES). Data extracted on 13 April 2021.,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio) [4.5.1],,,,Adult Education Survey (AES). Data extracted on 13 April 2021.,,,1.07992
2011,Adult Education Survey (AES). Data extracted on 13 April 2021.,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio) [4.5.1],,,,Adult Education Survey (AES). Data extracted on 13 April 2021.,,,1.11346
2016,Adult Education Survey (AES). Data extracted on 13 April 2021.,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio) [4.5.1],,,,Adult Education Survey (AES). Data extracted on 13 April 2021.,,,1.06865
2000,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99737
2001,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99146
2002,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99869
2003,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.00239
2004,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99808
2005,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.00329
2006,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.006
2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.00265
2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.00064
2009,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.00316
2010,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.00409
2011,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99216
2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,1.00005
2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.96637
2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99817
2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.96102
2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99714
2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99862
2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",,,,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,,0.99999
2012,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,"Adjusted immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",16 to 65 years old,,Skill: Functional literacy,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,,,0.81831
2012,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,"Adjusted immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio) [4.5.1]",16 to 65 years old,,Skill: Functional numeracy,England country only. Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,,,0.76374
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.90694
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.90028
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.91354
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.8691
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.93266
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.95262
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.95427
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.93279
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.96707
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Mathematics,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,0.97413
2015,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,1.07092
2018,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,Adjusted gender parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],,Lower secondary education,Skill: Reading,Programme for International Student Assessment (PISA). Students achieving at least proficiency Level 2. Modal grade for PISA: http://dx.doi.org/10.1787/888934038799 Data extracted on 13 April 2021.,,,1.07409
