Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Nature of data points,Observation-level footnotes,Source details,Value
2020,C,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2021,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
1995,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),76440
2000,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),115140
2005,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),452255
2010,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),688252
2012,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),748571
2014,C,,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),785107
2016,C,,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),810741
2017,C,,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),829253
2018,C,,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),842508
2019,C,,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),846059
2020,C,,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),Plant genetic resources accessions stored ex situ (number) [2.5.1],Country Data,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),846289
