Year,SERIES,Value
2017,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.0973581238809
2018,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.9259112573521
2019,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],17.944576878067
2008,Liquid assets to short term liabilities (%) [10.5.1],42.3173135643807
2009,Liquid assets to short term liabilities (%) [10.5.1],38.0367199393083
2010,Liquid assets to short term liabilities (%) [10.5.1],37.9029007685543
2011,Liquid assets to short term liabilities (%) [10.5.1],40.8864953681458
2012,Liquid assets to short term liabilities (%) [10.5.1],36.8081126415832
2013,Liquid assets to short term liabilities (%) [10.5.1],35.6946513876997
2014,Liquid assets to short term liabilities (%) [10.5.1],35.692415343885
2015,Liquid assets to short term liabilities (%) [10.5.1],35.891958477697
2016,Liquid assets to short term liabilities (%) [10.5.1],37.9184258453251
2017,Liquid assets to short term liabilities (%) [10.5.1],37.7911220689827
2018,Liquid assets to short term liabilities (%) [10.5.1],40.6758568820882
2019,Liquid assets to short term liabilities (%) [10.5.1],44.4311468777317
2008,Net open position in foreign exchange to capital (%) [10.5.1],29.1707688204952
2009,Net open position in foreign exchange to capital (%) [10.5.1],1.0454565927824
2010,Net open position in foreign exchange to capital (%) [10.5.1],5.6209365621236
2011,Net open position in foreign exchange to capital (%) [10.5.1],3.33478187611339
2012,Net open position in foreign exchange to capital (%) [10.5.1],-6.0929177537681
2013,Net open position in foreign exchange to capital (%) [10.5.1],-10.5004491554457
2014,Net open position in foreign exchange to capital (%) [10.5.1],8.29868768301941
2015,Net open position in foreign exchange to capital (%) [10.5.1],3.06479372915334
2016,Net open position in foreign exchange to capital (%) [10.5.1],-3.37516436015772
2017,Net open position in foreign exchange to capital (%) [10.5.1],-3.72918576530756
2018,Net open position in foreign exchange to capital (%) [10.5.1],-3.44740261259239
2019,Net open position in foreign exchange to capital (%) [10.5.1],-1.09126698214009
