Year,SOURCE_DETAIL,SERIES,COMMENT_OBS,Value
2018,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_MCV2,,88
2019,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_MCV2,,87
2008,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,0
2009,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,0
2010,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,89
2011,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,90
2012,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,92
2013,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,93
2014,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,93
2015,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,93
2016,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,92
2017,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,92
2018,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,92
2019,"WHO/UNICEF coverage estimates 2019 revision, July 2020",SH_ACS_PCV3,Obs_Value = 0;  ,91
