Year,COMMENT_OBS,SDG Series,Custom Breakdown,Label for custom breakdown,Observation-level footnotes,Value
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 422,Lebanon,Third quarter of the specified year.,14.82614
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 422,Lebanon,Third quarter of the specified year.,12.83274
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 422,Lebanon,Third quarter of the specified year.,11.69903
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year.,6.74309
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year.,6.90961
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year.,6.83036
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 440,Lithuania,Third quarter of the specified year.,6.39292
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year.,4.55477
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year.,4.48675
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year.,5.20275
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 50,Bangladesh,Third quarter of the specified year.,5.10969
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year.,5.99368
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year.,6.12398
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year.,6.84286
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 524,Nepal,Third quarter of the specified year.,6.78926
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year.,8.01291
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year.,4.84922
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year.,5.89516
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 566,Nigeria,Third quarter of the specified year.,6.73966
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year.,4.12417
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year.,3.89728
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year.,4.38934
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 586,Pakistan,Third quarter of the specified year.,4.86524
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year.,6.99734
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year.,5.8552
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year.,5.22973
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 608,Philippines,Third quarter of the specified year.,4.72371
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year.,5.31171
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year.,5.69212
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year.,4.76371
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 616,Poland,Third quarter of the specified year.,4.75339
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year.,9.39808
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year.,7.04173
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year.,6.16375
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 642,Romania,Third quarter of the specified year.,5.69086
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year.,13.04338
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year.,10.05452
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year.,9.93324
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 646,Rwanda,Third quarter of the specified year.,10.08758
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year.,7.48717
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year.,8.30958
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year.,10.35175
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 694,Sierra Leone,Third quarter of the specified year.,11.25876
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 704,Viet Nam,Third quarter of the specified year.,8.31491
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 704,Viet Nam,Third quarter of the specified year.,9.74191
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 704,Viet Nam,Third quarter of the specified year.,7.74698
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 704,Viet Nam,Third quarter of the specified year.,8.39389
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year.,7.83798
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year.,7.46448
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year.,7.01965
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 706,Somalia,Third quarter of the specified year.,8.69676
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year.,7.07212
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year.,8.45322
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year.,8.1655
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 710,South Africa,Third quarter of the specified year.,7.79324
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year.,8.03637
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year.,7.99592
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year.,8.23606
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 716,Zimbabwe,Third quarter of the specified year.,7.23558
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 728,South Sudan,Third quarter of the specified year.,11.03166
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 728,South Sudan,Third quarter of the specified year.,10.9998
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 728,South Sudan,Third quarter of the specified year.,9.43569
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 728,South Sudan,Third quarter of the specified year.,9.2494
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year.,6.57066
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year.,4.21538
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year.,7.04601
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 76,Brazil,Third quarter of the specified year.,7.28393
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year.,9.86149
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year.,9.90314
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year.,8.78418
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 764,Thailand,Third quarter of the specified year.,10.00574
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year.,8.81468
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year.,7.36131
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year.,7.50622
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 800,Uganda,Third quarter of the specified year.,9.1675
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year.,11.64004
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year.,9.47947
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year.,9.7573
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 834,United Republic of Tanzania,Third quarter of the specified year.,9.46688
2016,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year.,9.05203
2017,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year.,11.37147
2018,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year.,9.97353
2019,Third quarter of the specified year.,Corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 894,Zambia,Third quarter of the specified year.,9.41576
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,12.78288
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,14.5117
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,11.20569
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 04,Afghanistan,Third quarter of the specified year. Global SmaRT Average: 4.47%.,11.43922
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,9.27843
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.23656
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,8.49355
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 08,Albania,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.99398
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,10.77386
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.93778
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.86917
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 100,Bulgaria,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.63477
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.14107
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.41164
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.99126
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 144,Sri Lanka,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.69574
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year. Global SmaRT Average: 4.47%.,7.44885
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.43196
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.20713
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 156,China,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.07417
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,12.08252
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,9.74657
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.66472
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 231,Ethiopia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,5.44876
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 232,Eritrea,Third quarter of the specified year. Global SmaRT Average: 4.47%.,9.66667
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 232,Eritrea,Third quarter of the specified year. Global SmaRT Average: 4.47%.,13.63374
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 232,Eritrea,Third quarter of the specified year. Global SmaRT Average: 4.47%.,11.64296
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,13.64249
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.10154
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.09887
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 270,Gambia,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.35886
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year. Global SmaRT Average: 4.47%.,6.55722
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.82843
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year. Global SmaRT Average: 4.47%.,2.6895
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 288,Ghana,Third quarter of the specified year. Global SmaRT Average: 4.47%.,1.54571
2016,Third quarter of the specified year. Global SmaRT Average: 5.20%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year. Global SmaRT Average: 4.47%.,4.48001
2017,Third quarter of the specified year. Global SmaRT Average: 5:80%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year. Global SmaRT Average: 4.47%.,0.11234
2018,Third quarter of the specified year. Global SmaRT Average: 4.65%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year. Global SmaRT Average: 4.47%.,0.57189
2019,Third quarter of the specified year. Global SmaRT Average: 4.47%.,SmaRT corridor remittance costs as a proportion of the amount remitted [10.c.1],Custom code 356,India,Third quarter of the specified year. Global SmaRT Average: 4.47%.,-0.04035
