Year,Observation status,Unit multiplier,Reporting type,SERIES,Sex,Age,UNIT_MEASURE,Value
2004,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",6.7
2005,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",6.6
2006,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",6.5
2007,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",6.3
2008,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",6.1
2009,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",5.9
2010,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",5.7
2011,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",5.5
2012,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",5.3
2013,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",5.1
2014,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",5.0
2015,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",4.9
2016,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",4.8
2017,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",4.8
2018,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",4.7
2019,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",4.7
2020,Normal value,Units,Global,Under-five mortality rate [3.2.1],Male,under 5 years old,"Per 1,000 live births",4.6
